n,repeats,median_in_sample_rmse,median_out_sample_rmse,median_fit_time_s,median_predict_time_s
2400,41,0.1450920825749015,0.1837718367616799,12.496824978850782,11.645308658946306
2300,43,0.14586901014298997,0.18526432793256786,11.948592592030764,11.223698428831995
2200,45,0.14368005646325646,0.18668737043722577,11.486265066079795,10.75298372702673
2100,47,0.1432178489786026,0.1874637946280162,11.002477540634573,10.33082634024322
2500,40,0.14626944113807383,0.18679493531645813,13.008703320054337,12.157777970889583
1900,52,0.14257421628241232,0.19125013606777602,10.017562134657055,9.40847741975449
1800,55,0.1419455192128045,0.18841999645008894,9.507722288835794,8.965946910902858
2000,50,0.14217455529306833,0.186976948108042,10.513720630435273,9.867790090851486
1700,58,0.1409786416945269,0.19339629103550088,9.031678963918239,8.517167028505355
1600,62,0.14114818333018397,0.19024522647207748,8.519500537076965,8.078121467027813
1500,66,0.14047740808369405,0.19207085446901595,8.017221824266016,7.628752217860892
1400,71,0.13968477293474083,0.1971341238021654,7.518906024284661,7.153812115080655
1300,76,0.13833966582759571,0.19598415360260935,7.013684032252058,6.705592882819474
1200,83,0.13878841686728718,0.1967453099693066,6.52810806594789,6.23092055041343
1100,90,0.13754503526180706,0.1940816015534039,6.022979222936556,5.776673725573346
1000,100,0.13847271178413792,0.1948969331610592,5.5176734938286245,5.3261751579120755
900,111,0.1383458739970251,0.1950289962007892,5.019224555231631,4.877443364355713
800,125,0.13794799469166036,0.19548209057025356,4.518635641317815,4.402216180693358
700,142,0.13946549114954923,0.19634779840715597,4.028576788492501,3.939073013374582
600,166,0.13844492620643542,0.19710101521414652,3.519382920814678,3.471228834008798
500,200,0.13804159948743244,0.19667083698415466,3.0270369530189782,3.004241887712851
400,250,0.1382186922123608,0.19916573483706979,2.5243604646530002,2.5341536831110716
300,333,0.1398853069618717,0.2035542379128681,2.0146507509052753,2.0498003512620926
200,500,0.14025412924543867,0.20331746520990945,1.5056632107589394,1.5615281034260988
2800,35,0.14650456663389208,0.1793285401890375,14.391081612091511,13.333924541715533
2600,38,0.14703695043951542,0.18283668191084818,13.400442596059293,12.422073962399736
3600,27,0.14900494081197696,0.18097740091601164,18.335806630086154,16.89860762655735
3400,29,0.14823523759798338,0.1816074664803791,17.342852931004018,16.043579331599176
3500,28,0.14891824592178493,0.18160136464028132,17.765745892189443,16.40622707642615
3100,32,0.1492425973983616,0.18260316300424734,15.826132636750117,14.650390343973413
3800,26,0.14974820033836178,0.18347823620949189,19.273927856935188,17.768570667598397
3700,27,0.1498807841603983,0.18190683887408138,18.832337242085487,17.303078601602465
3200,31,0.1483135883407603,0.1817606756415486,16.46313778311014,15.273455071728677
4000,25,0.15083692274888422,0.18131348551734433,20.265922084916383,18.728632184211165
3300,30,0.1490208953780467,0.1831178289263114,16.925753112882376,15.677080005872995
2700,37,0.14777324740973008,0.18238428656815986,14.028295512776822,13.101321835070848
4200,23,0.14895245888040778,0.17923523213505327,21.181086648721248,19.57396779023111
3000,33,0.14758064922389316,0.18180692355599623,15.498212105128914,14.421113712713122
2900,34,0.14670279814270265,0.18332991911996838,15.031733206938952,13.9695428640116
4400,22,0.15147712587913664,0.1803933585094842,22.230739654274657,20.475786218885332
4300,23,0.14945384576781953,0.18093293242454048,21.660153734963387,19.891603806056082
3900,25,0.1503838870630172,0.17829792229325497,19.974160499870777,18.51179008372128
4100,24,0.15126364145331342,0.18105788791219019,20.893981317523867,19.5315620736219
4500,22,0.15137585911775198,0.18037182149166547,22.698783174389973,20.807240492897108
4600,21,0.15191917321070125,0.1830139301908249,23.214802264701575,21.14718016423285
100,1000,0.1488295994061864,0.21360573309961467,0.9783485641237348,1.0565858106128871
4700,21,0.15105101001990492,0.18143811178652583,24.614745238795877,22.15349517390132
4800,20,0.1515215346941253,0.18001954054953767,24.170024532824755,22.32256438699551
4900,20,0.15125238003122138,0.18180522821546685,25.620779945049435,23.149490665178746
5100,19,0.15365327469278986,0.1770753033956444,24.929558685980737,22.883996000047773
5300,18,0.1526943708844015,0.1776354896892685,25.91861485945992,23.799879466183484
5600,17,0.15321645193738478,0.17863164627800138,27.333376036956906,25.00017361715436
5400,18,0.15188127340643445,0.1792674662959563,26.406684120418504,24.27273221546784
5000,20,0.15256287783403139,0.1809893340417663,24.498643754981458,22.58029330894351
5200,19,0.15182969848985592,0.17950979059559502,25.41567669576034,23.405536870937794
5500,18,0.15237677176561243,0.17788623877304965,26.928395529976115,24.589769429061562
5900,16,0.15293785150261074,0.17793479114354355,28.720774764427915,26.24670327315107
5700,17,0.15348144069766226,0.1773507754824849,27.79702452197671,25.457813532091677
6000,16,0.154131956630093,0.17908898126489073,29.112516819499433,26.683361628791317
5800,17,0.15316917887502657,0.1776858841018795,28.21464019594714,25.75627473508939
6300,15,0.15518048867988737,0.17764569947023884,30.686774970963597,28.055555617902428
6100,16,0.15385764456970702,0.17771452975476543,29.778659340692684,27.1348799103871
6700,14,0.15314251232312523,0.17555846314392276,32.476301869843155,29.66956521407701
6400,15,0.15418169103867146,0.1791161869105666,30.86909506795928,28.605684015899897
6200,16,0.1536350140577531,0.17805562293919452,30.22504093358293,27.607361417962238
6500,15,0.15433613477037889,0.17628498365879328,31.491361957974732,28.886550994124264
6800,14,0.15593454953903685,0.1786546094659767,32.97924620844424,30.19236506638117
6600,15,0.15589063211278387,0.17609481976009386,32.06370658008382,29.194798483047634
6900,14,0.15315318297640565,0.17618918602003053,33.444675624370575,30.30923672276549
7000,14,0.15470708109465955,0.17745020958414434,34.03102328046225,31.12441176082939
7100,14,0.1538797869364068,0.1768648754954242,34.31004559062421,31.33524794643745
7200,13,0.15357961549291477,0.17420307825545137,34.66077700024471,31.85755812516436
7300,13,0.15477007805982887,0.17510234131931587,35.24831099389121,32.100315858609974
7400,13,0.15339932942215775,0.17694559661307763,35.72717352025211,32.59315555496141
7700,12,0.15476787168612444,0.17697102271509962,37.07764006406069,33.73175516864285
7800,12,0.15333766824163012,0.17493874712851423,37.691714285407215,34.36920428392477
7500,13,0.1552053792830795,0.1781954746513182,36.21474018506706,33.00756616285071
7900,12,0.1543538403349748,0.1739528503029267,37.94128444092348,34.384132246952504
8400,11,0.15455839508142252,0.17449218157887017,40.24589064484462,36.83691202290356
7600,13,0.15454800675012426,0.17614619591116654,36.696715326979756,33.42637533787638
8000,12,0.15436004902461903,0.17648640103572344,38.643258795142174,35.03613224695437
8500,11,0.15392138649153303,0.17353255243968344,40.891725913155824,37.07606996782124
8100,12,0.15344632228292787,0.17631559328290736,39.07862334395759,35.79019539710134
8600,11,0.15533066134329376,0.17471647048818842,41.480656284838915,37.56035456387326
8200,12,0.1549978956650469,0.17270914279103777,39.47469296026975,35.8928881904576
9100,10,0.1557541773570547,0.17348448548833909,43.70820580655709,39.95797482156195
8700,11,0.1533813483789421,0.17506739561087298,41.38050303980708,38.091425865888596
8300,12,0.1547546073987976,0.17620729962747195,39.903311050031334,36.42203443753533
9200,10,0.15486449946487651,0.17309174526597026,44.22553177597001,40.11851430288516
8800,11,0.15362099214262445,0.17592963551059518,42.14232449885458,38.78102378267795
9300,10,0.15553603094321644,0.1733040089863667,44.66213951818645,40.68213529093191
8900,11,0.15514951500854135,0.17579545365428115,42.495831279084086,39.29379397071898
9000,11,0.15290200502702525,0.1725160373803111,43.22856568126008,39.545039711054415
9400,10,0.15419604187729413,0.17332409070042248,45.09546660259366,41.305697379866615
9500,10,0.1550231329462799,0.17276344504478186,45.529909145785496,41.466519652632996
9600,10,0.155988101674016,0.17461576475011503,46.14260571915656,41.99798514088616
9700,10,0.15543910635663494,0.1731288040988901,46.460887564346194,42.63955016247928
9800,10,0.15530377358603503,0.17311337572635152,46.84708437183872,42.6081567958463
9900,10,0.1554998112141736,0.1728357269731325,46.258817323250696,42.601778554264456
10000,10,0.15631977291897375,0.17344733002625676,46.44388999650255,43.105554355774075
