latitude,longitude,depth,mag,nst,gap,dmin,rms,net,horizontalError,depthError,magError,magNst
-2.0333,138.9557,35.0,4.9,31,73.0,0.957,0.59,us,4.68,1.889,0.104,29
51.6429,160.2175,10.0,4.2,17,149.0,1.684,0.78,us,10.82,1.975,0.167,13
13.372,-90.3699,31.573,4.2,26,196.0,0.779,0.76,us,3.8,9.178,0.141,14
39.4698,143.2567,35.0,4.3,22,137.0,2.136,0.73,us,7.98,1.966,0.168,10
51.5588,160.0252,10.0,4.4,21,127.0,1.693,0.6,us,5.32,1.914,0.149,13
52.2064,161.3435,10.0,5.1,116,106.0,1.835,0.84,us,7.77,1.855,0.027,454
-47.7996,115.9578,10.0,4.6,37,128.0,14.887,0.4,us,13.08,1.914,0.095,33
52.1061,160.6091,10.0,4.2,11,159.0,1.508,0.4,us,12.12,1.965,0.216,6
16.4882,-59.5936,10.0,4.6,52,166.0,1.415,0.83,us,6.82,1.922,0.044,155
-16.1031,67.4002,10.0,4.5,17,93.0,5.283,1.09,us,13.81,1.9,0.181,9
46.873,152.5884,66.72,4.1,42,136.0,6.733,0.67,us,12.2,8.591,0.107,24
-5.1711,152.7504,35.0,4.6,55,149.0,1.136,0.83,us,8.87,1.919,0.081,45
54.1281,-159.7374,10.0,3.6,108,166.0,0.71,0.82,us,4.94,1.943,0.151,11
38.7751,70.4663,10.0,4.2,45,72.0,1.03,0.76,us,3.63,1.729,0.102,29
50.6173,158.465,10.0,4.4,17,241.0,2.412,0.5,us,14.0,1.996,0.169,10
-35.6119,-179.602,10.0,4.4,20,226.0,2.573,1.25,us,10.39,1.921,0.144,14
9.4361,94.1008,10.0,4.3,22,177.0,5.497,0.63,us,12.43,1.814,0.138,15
49.9071,155.8421,68.284,4.4,113,131.0,3.409,0.53,us,9.31,7.071,0.054,99
26.3136,92.7974,35.0,4.3,43,146.0,3.685,0.64,us,9.54,1.94,0.103,27
-17.6371,-175.1886,272.933,4.3,36,73.0,4.949,0.49,us,12.3,8.458,0.102,27
52.7965,160.796,40.813,4.2,21,118.0,1.319,0.82,us,4.84,7.718,0.158,14
53.2269,160.3241,63.623,4.5,63,157.0,1.029,0.97,us,11.03,7.011,0.071,62
40.6139,78.8172,10.0,4.9,92,50.0,1.351,0.79,us,6.5,1.128,0.051,122
1.4567,128.2043,106.214,4.6,48,80.0,3.826,0.5,us,8.34,8.523,0.088,39
-29.6391,-177.4915,35.0,4.1,11,260.0,9.693,0.54,us,12.02,1.989,0.213,6
12.2738,144.4749,10.0,4.7,45,106.0,1.363,0.75,us,6.4,1.808,0.092,36
43.4049,155.14,10.0,4.5,33,147.0,8.932,0.74,us,9.82,1.927,0.132,17
8.8913,-84.0748,10.148,4.4,26,129.0,0.847,1.14,us,5.4,5.532,0.13,17
-7.2788,126.5952,330.724,4.1,21,68.0,3.37,0.95,us,12.06,12.294,0.165,10
49.1124,156.1915,35.0,4.3,21,138.0,4.112,1.08,us,7.8,1.949,0.125,18
-5.3111,152.3367,43.703,4.5,54,93.0,1.045,0.92,us,7.17,7.5,0.084,45
