latitude,longitude,depth,mag,nst,dmin,rms,horizontalError,depthError,magError,magNst
51.321,161.0129,10.0,4.4,48,2.241,0.45,10.28,1.889,0.063,73
-59.7372,-26.4457,98.872,5.2,65,18.006,0.5,12.01,7.988,0.071,66
51.4089,-177.2178,38.479,3.8,82,0.353,0.56,4.06,2.715,0.064,63
54.4643,-159.8395,36.259,4.2,128,0.395,0.64,5.97,10.062,0.166,10
49.7972,156.1874,46.985,4.6,51,3.448,0.65,10.31,6.968,0.072,57
52.1429,179.7058,173.056,3.8,14,0.163,0.71,10.03,10.91,0.127,16
23.3055,-44.9733,10.0,4.7,87,19.929,0.43,14.07,1.912,0.063,76
40.0327,113.4545,10.0,4.5,48,2.086,0.29,8.47,1.896,0.084,42
6.2575,127.4141,10.0,4.4,24,1.993,0.7,4.88,1.913,0.143,17
-0.8068,-91.5237,10.0,4.4,20,0.655,0.69,5.25,1.924,0.139,15
-4.5323,153.1886,95.17,4.6,36,1.077,0.81,8.56,6.56,0.098,31
17.8382,-103.0383,19.667,4.3,49,1.729,1.06,9.62,5.771,0.063,71
-7.3062,-13.2136,10.0,4.4,25,1.296,0.73,5.76,1.863,0.118,21
64.5247,-39.9652,10.0,4.2,50,4.201,0.62,7.38,1.511,0.065,66
52.3932,160.5513,28.933,4.4,39,1.318,0.77,9.49,5.88,0.109,24
46.8042,152.25,86.344,4.4,24,6.507,0.33,13.36,9.261,0.117,21
49.9825,156.8591,35.0,4.9,81,3.174,0.7,10.71,1.91,0.045,151
-4.1381,128.7192,10.0,4.5,44,1.242,0.4,7.3,1.116,0.093,34
14.4467,-91.1473,98.851,4.2,100,1.433,0.76,9.06,9.079,0.054,102
-3.7733,127.8626,10.0,4.9,40,4.458,0.87,7.36,1.891,0.11,26
2.5667,-31.1345,10.0,4.8,52,20.209,0.71,13.76,1.928,0.08,48
41.0269,14.8167,10.0,4.0,23,0.189,0.9,2.53,1.898,0.365,2
39.4698,143.2567,35.0,4.3,22,2.136,0.73,7.98,1.966,0.168,10
52.7891,159.0738,104.367,5.1,41,0.891,0.91,11.44,6.374,0.101,32
12.0036,-86.7517,100.748,4.4,50,0.513,0.63,8.23,8.104,0.079,46
52.6449,160.052,35.0,4.2,20,0.931,0.94,8.51,1.977,0.146,13
49.1092,155.9927,46.79,4.4,22,4.146,0.69,11.63,8.854,0.149,13
-3.952,153.1118,29.558,4.4,26,0.975,0.76,7.88,6.646,0.13,17
7.3364,127.0845,10.0,4.9,91,1.517,1.18,6.57,1.855,0.056,99
51.5004,159.6915,10.0,4.9,78,1.654,0.83,8.0,1.86,0.046,146
50.2399,156.8558,57.734,4.5,36,2.92,0.56,10.06,8.25,0.106,26
49.9193,158.0693,10.0,4.1,33,3.13,0.68,11.76,1.905,0.117,20
20.8614,96.0989,10.0,4.5,60,2.332,0.37,7.65,1.672,0.08,46
25.2576,126.5237,35.0,4.2,25,2.224,1.27,7.71,1.959,0.146,13
-16.2898,66.8529,10.0,4.7,42,4.781,0.48,11.34,1.854,0.093,35
40.292,141.8692,35.0,4.4,25,0.789,1.13,5.85,1.899,0.138,15
38.3847,-30.232,10.0,4.6,34,3.766,0.59,10.86,1.904,0.104,28
-38.9228,-91.3771,10.0,4.5,44,11.411,0.54,13.11,1.889,0.084,42
52.497,160.7237,10.0,5.4,144,1.366,0.93,7.98,1.832,0.024,611
-57.9396,-24.3082,10.0,4.4,20,16.368,0.71,14.28,1.938,0.123,20
-16.4962,-177.4278,10.0,4.8,23,3.072,0.63,12.34,1.917,0.131,18
39.9544,143.5608,10.0,4.9,165,2.081,0.56,7.99,1.868,0.04,195
9.2857,94.2457,10.0,4.3,23,5.336,0.74,8.1,1.87,0.142,14
-60.4185,-31.5333,10.0,5.4,93,6.708,0.38,10.79,1.826,0.065,80
51.0814,159.487,10.0,4.0,25,2.012,0.33,10.34,1.925,0.126,17
-15.7293,-177.4972,415.82,4.0,16,3.101,1.14,10.59,10.388,0.156,12
31.3589,140.9594,53.822,4.6,69,2.002,0.53,10.47,7.822,0.074,55
9.8774,-70.8406,10.0,4.3,17,1.007,0.86,7.43,1.94,0.148,13
-24.6314,-70.1341,56.42,4.1,17,0.723,0.62,3.77,7.795,0.198,7
36.7989,74.5496,10.0,4.7,77,2.231,0.73,9.58,1.841,0.062,79
2.193,126.583,64.54,5.1,115,1.615,0.95,4.72,5.474,0.042,182
52.0848,160.4567,10.0,4.9,76,1.449,1.08,8.38,1.878,0.037,230
52.3467,160.6799,10.0,4.1,19,1.409,0.92,10.97,1.963,0.174,9
50.238,157.55,35.0,4.6,80,2.872,0.91,9.83,1.883,0.063,75
5.6924,124.2808,35.0,4.3,30,1.527,0.85,6.97,1.926,0.125,18
-6.8261,146.9044,103.358,4.3,17,2.574,0.33,6.86,9.818,0.137,15
-7.09,131.3784,10.0,4.3,14,2.942,0.67,9.58,1.948,0.187,8
50.0155,157.339,35.027,4.8,64,3.105,0.76,10.18,7.149,0.046,150
29.241,105.395,10.0,4.3,35,3.711,0.78,11.3,1.929,0.111,23
36.9307,21.6114,30.643,4.5,67,0.352,0.41,7.28,6.016,0.084,41
52.0883,160.6467,21.806,4.4,41,1.537,1.09,7.63,4.682,0.095,32
51.8128,159.6095,35.0,4.2,23,1.347,0.73,11.69,1.946,0.132,16
51.3096,159.5462,35.0,4.2,21,1.803,0.75,8.72,1.977,0.152,12
52.4938,160.524,35.0,4.4,36,1.256,0.52,12.6,1.939,0.098,31
-35.6554,-179.5727,10.0,4.6,26,2.556,1.05,10.64,1.952,0.125,19
39.215,28.0165,12.851,4.1,27,0.876,0.66,2.8,5.525,0.214,6
-24.2993,-175.7043,31.869,5.1,71,5.312,0.64,11.14,5.434,0.071,64
52.9004,160.8399,10.0,4.1,40,1.33,0.91,9.09,1.894,0.109,23
-59.1835,-25.4503,35.0,4.5,31,15.502,0.68,17.92,1.939,0.104,27
22.9169,94.4797,100.305,4.6,79,4.839,0.82,9.23,6.922,0.071,59
4.3155,128.4471,10.0,4.4,26,2.988,0.46,8.68,1.904,0.144,15
0.2243,122.0056,198.613,4.4,47,1.472,0.7,7.96,6.622,0.096,31
-7.9744,130.3851,10.0,4.6,32,3.462,0.87,8.48,1.806,0.105,27
51.135,159.0378,35.0,4.8,30,1.906,0.94,10.63,1.942,0.093,36
51.5787,159.7664,10.0,4.8,91,1.601,0.7,8.06,1.884,0.06,84
52.9581,161.1012,10.0,4.4,22,1.483,1.12,9.68,2.0,0.115,22
-13.5367,167.5465,10.0,4.5,26,1.928,1.17,9.79,1.898,0.118,21
-49.1395,124.9343,10.0,4.5,20,16.718,0.8,13.54,1.899,0.131,19
-15.9746,-175.3658,345.758,4.2,31,4.027,0.94,14.69,8.524,0.108,24
10.7351,-85.9493,46.643,4.2,43,0.626,0.94,8.37,13.026,0.098,29
