latitude,longitude,depth,mag,nst,dmin,rms,horizontalError,depthError,magError,magNst
-11.3425,163.0711,10.0,4.2,15,3.609,0.78,7.08,1.978,0.167,10
6.2464,125.6335,156.375,4.2,20,0.82,0.97,9.18,7.896,0.146,13
41.7698,88.1512,10.0,4.7,69,6.155,0.52,9.9,1.886,0.063,78
-56.4038,-23.9267,10.0,4.3,25,7.471,0.7,13.73,1.86,0.169,13
0.4033,123.5481,243.0,4.4,53,1.632,0.87,7.93,7.036,0.086,40
48.8364,156.5514,10.0,4.1,22,4.338,0.6,12.27,1.926,0.15,12
-22.7943,68.3326,10.0,4.4,12,49.594,0.48,13.88,2.013,0.204,7
6.9709,126.7077,81.914,5.3,25,1.125,0.7,10.2,8.07,0.133,19
-21.9912,-68.7137,117.67,4.3,27,0.527,0.93,5.51,4.761,0.16,11
45.8993,148.1129,183.581,4.5,90,3.85,0.85,9.37,6.991,0.035,247
39.672,141.4176,96.177,4.2,27,1.148,0.65,8.37,7.941,0.132,16
30.5618,130.9918,45.075,4.7,71,1.052,0.69,10.93,5.62,0.057,95
-6.3254,-79.9277,67.657,5.0,75,3.892,0.79,10.97,5.918,0.029,387
50.1152,157.1579,36.368,4.9,86,3.016,0.59,11.47,6.972,0.034,274
-20.7057,-68.7581,128.91,4.5,25,0.673,0.88,6.5,6.241,0.115,22
-9.2516,112.6426,66.245,4.0,17,1.682,0.97,9.91,10.427,0.164,11
43.3942,-126.9726,10.0,3.7,92,1.589,0.9,8.74,2.003,0.191,7
-5.9875,147.4084,10.0,4.6,29,3.404,0.9,10.73,1.866,0.123,20
53.124,160.3421,56.152,4.4,26,1.026,0.93,5.79,7.582,0.126,18
28.2622,101.9056,10.0,4.4,46,7.82,0.9,7.77,1.594,0.092,35
49.9329,157.3474,27.075,4.6,54,3.187,0.47,10.99,5.716,0.05,122
-23.0538,179.0167,613.245,4.3,23,5.359,0.96,19.41,21.332,0.132,16
-3.0498,-80.2418,52.291,4.2,32,1.099,0.92,6.73,11.154,0.118,20
-33.6203,-71.1431,70.839,4.0,26,0.202,0.37,2.31,4.152,0.182,8
8.7007,126.5777,44.182,4.2,37,1.899,0.49,11.25,6.608,0.108,25
52.1495,160.2971,49.391,4.3,21,1.333,0.77,10.94,8.566,0.129,17
49.2367,158.5882,10.0,4.5,32,3.792,0.43,9.33,1.898,0.091,35
52.1633,160.5071,34.831,4.4,70,1.423,0.62,10.9,6.603,0.052,108
23.6498,94.7137,121.439,4.4,29,2.44,0.34,8.35,8.427,0.12,20
-5.2164,152.724,35.0,4.5,29,1.14,0.8,12.23,1.97,0.093,34
13.0578,-89.0383,71.926,4.6,69,0.659,0.96,5.6,6.733,0.041,178
50.4631,158.4999,50.724,4.5,61,2.566,0.73,6.19,6.818,0.073,56
-20.2605,-178.0524,576.408,4.4,62,4.454,0.62,15.82,9.247,0.068,63
52.1048,159.692,35.0,6.2,113,1.119,0.97,6.67,0.871,0.023,749
-57.6969,157.4795,33.873,5.1,69,3.309,0.54,4.74,3.912,0.102,31
-5.5761,150.4587,99.49,4.1,22,2.007,0.38,9.33,7.381,0.131,16
-3.3443,129.2759,10.0,4.4,34,1.328,0.5,6.54,1.883,0.107,25
14.8244,-94.1944,35.789,4.5,46,1.917,0.92,6.59,7.995,0.039,196
12.4243,123.6545,10.0,4.4,22,7.852,0.72,7.79,1.9,0.115,22
-12.7832,143.2158,10.0,4.5,12,1.168,0.75,11.06,1.859,0.222,7
51.6577,159.4811,44.85,4.4,32,1.46,0.83,12.65,8.012,0.098,30
4.3115,127.6385,124.434,4.1,19,2.193,0.46,12.65,9.114,0.184,10
32.4076,141.7538,10.0,4.6,63,1.78,0.62,8.24,1.881,0.079,48
52.2899,159.5543,35.0,4.8,82,0.918,0.88,4.09,1.936,0.053,110
52.2212,160.3199,41.363,4.1,20,1.827,1.03,10.62,6.347,0.127,17
52.1613,160.6383,10.0,4.2,31,1.489,0.92,7.2,1.828,0.118,20
-24.194,-67.5143,206.826,4.1,15,1.379,0.63,5.7,10.44,0.235,5
50.4377,157.4172,35.0,4.1,16,2.68,0.54,8.21,1.942,0.145,13
51.2113,159.4212,10.0,4.3,24,1.876,0.73,6.1,1.969,0.129,17
38.0069,20.1919,51.068,4.2,24,1.606,0.88,6.34,11.571,0.176,11
49.5402,-28.3373,10.0,4.5,24,15.098,0.41,9.76,1.767,0.124,19
35.3936,22.9898,60.234,4.4,52,1.978,0.96,3.28,6.661,0.09,37
52.653,160.6257,10.0,5.1,114,1.255,1.07,8.02,1.803,0.022,649
-47.9879,116.6016,10.0,4.6,16,15.051,0.95,10.84,1.955,0.146,14
60.5366,-139.9898,5.0,4.2,39,0.461,1.11,1.96,1.874,0.265,7
43.3943,147.7436,45.258,4.2,27,3.65,0.7,11.88,10.461,0.121,19
15.179,-45.7693,10.0,4.8,123,12.075,0.45,8.28,1.849,0.042,174
-0.3169,125.646,76.161,5.0,64,5.019,0.66,3.32,7.459,0.081,48
-15.173,-175.2777,17.564,4.7,62,3.61,0.86,6.9,11.512,0.063,76
-48.9783,124.8926,10.0,4.4,19,16.708,1.4,10.47,1.932,0.13,17
-52.8962,22.0141,10.0,4.4,23,20.523,0.66,10.93,1.87,0.12,21
63.8907,-23.086,10.0,4.4,79,1.152,0.67,7.02,1.825,0.065,68
24.4824,-46.3563,10.0,4.4,30,15.908,0.65,14.55,1.94,0.114,22
52.2797,160.7404,38.454,4.8,85,1.475,1.23,8.79,5.559,0.036,238
30.7824,96.6483,10.0,4.2,14,4.896,0.72,9.3,1.914,0.176,9
-6.8229,129.7353,165.067,4.5,36,2.292,0.84,11.54,8.401,0.102,31
16.4755,-59.5154,10.0,4.2,49,1.488,0.65,6.37,1.916,0.108,24
51.7688,160.4012,10.0,4.6,53,1.652,0.64,7.31,1.57,0.084,42
52.5202,162.3847,10.0,4.2,34,2.324,0.49,7.47,1.878,0.112,22
51.6647,159.923,10.0,4.4,36,1.569,0.77,10.43,1.961,0.1,29
51.8962,158.5115,70.037,4.2,35,1.132,0.64,11.15,7.089,0.103,26
34.7678,24.068,47.995,4.3,33,2.651,1.03,9.82,9.469,0.109,24
-8.3706,117.8192,21.11,4.5,35,0.456,0.79,4.97,5.267,0.118,24
-52.9299,22.0895,10.0,4.6,25,20.559,0.61,10.71,1.839,0.114,23
-26.9364,179.1625,540.765,4.3,33,10.619,0.37,15.96,11.09,0.102,27
51.1307,157.653,66.948,4.3,56,1.981,0.62,8.9,6.151,0.071,56
-24.5383,-115.9846,10.0,4.6,79,6.522,0.44,13.85,1.922,0.066,74
-6.8648,128.5397,10.0,4.4,22,5.111,0.75,8.42,1.902,0.13,17
51.5614,159.0909,35.0,4.1,45,1.489,0.9,10.33,1.936,0.086,39
10.7493,123.9835,10.0,4.7,118,3.981,0.6,10.0,1.855,0.053,113
