latitude,longitude,depth,mag,nst,dmin,rms,horizontalError,depthError,magError,magNst
51.7688,160.4012,10.0,4.6,53,1.652,0.64,7.31,1.57,0.084,42
52.6734,160.4363,10.0,4.0,30,1.139,0.42,10.88,1.951,0.113,21
-47.8412,116.1315,10.0,5.2,59,14.92,0.75,11.3,1.794,0.083,49
45.3442,151.0134,64.766,4.5,107,5.957,0.54,10.84,6.796,0.057,92
53.0347,161.0127,35.0,4.4,35,1.427,0.89,14.01,1.986,0.112,23
36.5754,70.7776,126.714,4.1,46,2.203,0.93,6.83,8.654,0.135,16
50.1152,157.1579,36.368,4.9,86,3.016,0.59,11.47,6.972,0.034,274
-48.9783,124.8926,10.0,4.4,19,16.708,1.4,10.47,1.932,0.13,17
53.049,159.9976,53.076,4.5,111,0.814,0.84,9.54,6.926,0.054,103
51.754,159.4027,35.0,4.7,130,1.352,0.74,6.96,1.826,0.047,134
6.8252,127.2307,10.0,4.3,23,1.658,0.84,8.25,1.931,0.142,19
27.3994,52.6368,10.0,4.5,40,15.942,0.7,13.51,1.92,0.097,31
13.162,126.5517,10.0,4.3,22,9.704,0.92,13.38,1.941,0.129,17
30.7824,96.6483,10.0,4.2,14,4.896,0.72,9.3,1.914,0.176,9
-26.3858,-177.7972,196.517,4.4,76,9.419,0.7,13.84,6.193,0.068,62
32.2667,142.0712,10.0,4.5,41,2.083,0.55,8.8,1.887,0.106,29
-31.9385,-69.9338,108.723,4.2,40,0.891,0.69,5.44,6.489,0.128,18
36.4192,141.5995,35.0,4.7,112,2.735,0.63,7.59,1.867,0.059,90
23.151,121.6227,34.496,4.4,47,0.384,0.72,3.59,4.743,0.1,29
49.6385,158.3545,10.0,4.1,17,3.395,0.53,14.04,1.943,0.166,10
-41.2658,-88.2075,10.0,4.6,35,13.352,0.34,14.84,1.688,0.097,32
52.5202,162.3847,10.0,4.2,34,2.324,0.49,7.47,1.878,0.112,22
52.6923,160.9851,10.0,4.2,24,1.454,0.82,10.88,1.994,0.117,20
-16.1435,167.6355,91.846,4.4,22,5.415,0.6,14.95,3.892,0.155,14
17.7821,-94.1975,188.331,5.0,96,2.472,0.71,9.96,6.24,0.024,534
51.2488,159.2394,18.01,4.5,46,2.084,0.93,13.75,5.854,0.091,36
52.6896,159.0092,61.378,4.2,22,0.399,0.95,11.51,3.895,0.115,21
44.1832,-129.2613,10.0,4.2,60,1.828,0.6,9.55,1.969,0.086,38
13.0578,-89.0383,71.926,4.6,69,0.659,0.96,5.6,6.733,0.041,178
52.877,160.2527,35.0,4.1,9,0.981,1.02,15.98,2.015,0.234,6
37.9638,141.7045,61.83,4.4,76,2.865,0.67,8.29,6.024,0.066,66
53.1488,159.8258,64.606,4.9,140,0.72,0.57,10.08,6.695,0.044,160
-7.5418,127.7279,155.496,4.4,56,3.699,0.84,7.95,7.846,0.082,43
52.2343,159.6189,35.374,4.9,25,0.987,1.08,12.6,8.244,0.132,18
54.6343,160.2809,10.0,4.3,53,1.881,0.62,12.17,1.89,0.061,77
21.5954,121.8629,10.0,4.4,60,1.416,0.57,7.2,1.904,0.08,53
60.5366,-139.9898,5.0,4.2,39,0.461,1.11,1.96,1.874,0.265,7
1.4483,127.1465,110.645,4.3,27,2.306,0.4,10.13,8.467,0.126,18
-11.3425,163.0711,10.0,4.2,15,3.609,0.78,7.08,1.978,0.167,10
-5.5512,146.6973,142.13,4.3,29,3.856,0.69,10.32,8.361,0.116,21
53.1383,161.0665,35.0,4.3,18,1.462,0.75,11.81,1.997,0.168,10
11.2615,124.0555,10.0,4.5,55,6.638,0.51,13.36,1.911,0.078,48
49.9338,157.562,10.0,4.8,76,3.168,1.17,8.21,1.861,0.026,469
-14.7869,167.1555,83.232,4.4,24,0.658,0.55,13.06,7.424,0.12,20
-19.3975,-175.6266,249.435,4.4,36,5.394,0.92,11.52,8.16,0.092,34
27.4499,52.605,10.0,4.4,50,4.083,0.51,10.03,1.874,0.081,44
51.6208,160.7572,10.0,4.2,23,1.909,1.01,9.42,1.93,0.128,17
16.5347,-59.5172,10.0,4.5,43,1.493,0.79,7.99,1.958,0.109,25
0.7343,118.5703,13.398,4.5,49,1.033,0.5,4.91,4.689,0.092,35
49.746,155.8336,57.438,5.0,93,3.563,0.81,10.59,5.753,0.027,429
-14.7934,167.8871,10.0,4.8,85,0.927,0.99,7.16,1.835,0.065,74
-16.3231,-174.1109,119.116,4.7,56,3.289,0.77,10.32,7.059,0.071,61
-7.3233,129.2753,123.984,4.2,16,5.283,0.88,10.29,11.001,0.186,8
35.4073,20.488,38.482,4.0,16,2.115,0.95,10.0,11.945,0.183,8
-29.6475,-177.3256,35.0,4.4,16,28.876,1.03,20.38,2.019,0.139,15
7.1332,127.5707,10.0,4.1,23,1.977,0.93,10.85,1.919,0.124,18
50.0476,159.5665,10.0,4.3,42,3.034,0.66,10.91,1.909,0.099,29
-52.8962,22.0141,10.0,4.4,23,20.523,0.66,10.93,1.87,0.12,21
50.6143,159.0116,10.0,4.1,35,2.423,0.86,9.0,1.932,0.109,23
-9.5862,124.0061,60.691,4.0,9,0.307,0.43,10.03,6.607,0.211,6
52.1613,160.6383,10.0,4.2,31,1.489,0.92,7.2,1.828,0.118,20
-35.5235,-179.3541,10.0,4.8,29,2.773,0.47,8.89,1.833,0.118,22
49.8591,159.5088,10.0,4.2,37,3.214,0.54,8.27,1.849,0.11,23
51.1054,-176.0765,35.0,3.7,55,0.785,0.98,4.13,1.932,0.105,23
10.8074,-62.9704,122.966,4.0,23,1.716,0.62,11.52,11.617,0.182,8
41.3365,142.8344,52.931,4.6,98,0.72,0.68,8.1,5.06,0.054,101
53.0707,159.9801,51.152,4.6,49,0.804,0.94,10.08,7.676,0.066,68
49.8296,155.7817,87.635,4.4,120,3.495,0.44,9.99,7.112,0.051,110
