latitude,longitude,depth,mag,nst,gap,dmin,rms,net,horizontalError,depthError,magError,magNst
-32.7193,-178.7437,35.0,4.4,14,218.0,5.402,0.62,us,8.46,1.991,0.169,10
-3.4265,129.2662,10.0,4.7,70,77.0,1.261,0.93,us,3.83,1.777,0.074,61
52.7834,160.6207,21.723,4.1,34,119.0,1.218,1.1,us,9.77,6.502,0.111,23
-15.9963,-175.9526,10.0,4.5,49,75.0,4.518,0.67,us,10.84,1.883,0.079,47
44.4564,149.4049,35.0,4.7,116,137.0,4.902,0.58,us,9.97,1.91,0.057,95
35.4465,27.8337,54.403,4.1,32,121.0,0.557,0.68,us,5.24,7.22,0.094,35
-58.8007,-25.4875,29.994,5.5,63,33.0,7.576,0.86,us,9.88,5.042,0.052,126
18.6747,120.637,28.121,4.7,53,118.0,4.143,1.0,us,12.14,5.902,0.077,51
49.0766,157.7863,10.0,4.3,24,133.0,3.989,0.68,us,9.76,1.917,0.138,15
-7.8045,123.329,10.0,4.9,49,68.0,2.149,0.7,us,4.67,2.426,0.096,39
-23.2131,-175.4845,35.0,4.4,19,209.0,8.265,1.27,us,10.72,1.985,0.131,17
52.3277,161.5303,10.0,4.4,21,135.0,1.887,0.62,us,13.76,1.941,0.134,16
4.3155,128.4471,10.0,4.4,26,107.0,2.988,0.46,us,8.68,1.904,0.144,15
-22.4554,-113.227,10.0,4.6,42,161.0,36.187,0.43,us,9.4,1.887,0.088,39
49.4802,157.8111,10.0,4.5,70,167.0,3.587,0.64,us,10.23,1.923,0.076,51
51.6136,158.4984,73.349,4.6,97,108.0,1.415,0.7,us,8.91,6.64,0.058,90
-58.0601,-25.9461,79.256,4.2,16,98.0,16.627,0.66,us,13.75,5.418,0.137,15
-4.2743,152.6823,62.317,4.7,75,90.0,0.524,0.39,us,9.52,6.552,0.065,71
49.887,155.7814,78.872,4.2,67,137.0,3.441,0.43,us,11.78,7.172,0.073,52
50.0928,157.764,27.83,4.3,28,138.0,2.986,1.23,us,10.79,5.672,0.138,17
52.382,160.1014,10.0,4.7,32,175.0,1.092,0.68,us,8.47,1.955,0.113,24
18.9015,-106.5316,10.0,4.3,32,179.0,2.173,0.71,us,9.46,1.878,0.072,55
-6.4539,150.2984,10.0,4.2,12,137.0,2.916,1.02,us,9.98,1.883,0.153,12
39.4542,20.6484,22.053,4.1,80,66.0,1.38,1.08,us,5.96,5.361,0.088,35
-32.2714,-179.2683,67.311,4.4,13,157.0,3.216,0.64,us,11.92,12.679,0.154,12
36.9515,30.8279,105.95,4.1,34,112.0,0.765,0.74,us,5.92,5.32,0.135,16
-2.421,139.0541,41.582,4.4,28,75.0,1.023,1.17,us,6.26,5.012,0.109,24
51.8762,160.9509,10.0,4.5,71,126.0,1.817,0.54,us,9.37,1.898,0.062,78
-30.8782,-178.1211,35.0,4.7,21,239.0,7.293,0.54,us,11.72,1.985,0.11,27
51.3574,160.716,10.0,4.2,14,167.0,2.098,0.85,us,8.03,1.816,0.175,9
16.9035,146.1767,126.288,4.1,20,169.0,1.695,0.37,us,16.37,10.709,0.13,16
34.5337,26.0526,45.634,4.8,76,115.0,1.36,0.8,us,7.2,7.181,0.057,96
-60.0526,-61.9887,10.0,5.0,44,125.0,4.835,0.71,us,6.45,1.727,0.091,38
50.5,157.633,47.958,4.5,57,131.0,2.605,0.89,us,11.47,7.387,0.044,152
-25.384,179.6597,520.876,4.2,17,160.0,7.747,0.67,us,24.14,22.745,0.132,16
50.8049,158.7836,10.0,5.7,45,131.0,2.223,0.7,us,7.17,1.638,0.113,28
51.2481,159.4835,10.0,4.6,35,221.0,2.163,0.73,us,10.03,1.975,0.092,35
50.1857,156.7908,53.295,4.3,39,135.0,2.981,0.51,us,13.46,8.463,0.104,26
11.2615,124.0555,10.0,4.5,55,111.0,6.638,0.51,us,13.36,1.911,0.078,48
51.1257,158.7013,35.0,4.9,103,122.0,1.901,0.65,us,7.92,1.91,0.034,270
54.4231,-159.7891,24.221,4.2,93,168.0,0.425,0.73,us,3.85,5.893,0.152,12
35.8757,135.555,352.502,4.1,130,29.0,1.311,0.77,us,7.35,6.281,0.044,142
