latitude,longitude,depth,mag,nst,dmin,rms,horizontalError,depthError,magError,magNst
52.4269,160.957,10.0,4.4,29,1.525,0.8,11.86,1.919,0.105,26
41.2186,71.9375,15.69,4.2,29,0.56,0.86,2.62,5.022,0.167,10
0.7895,123.8201,252.173,4.5,30,3.055,0.8,8.54,10.989,0.109,25
0.7377,96.8752,10.0,5.0,85,2.822,0.84,9.28,1.828,0.067,71
51.9532,159.9244,44.555,4.5,26,1.325,0.89,8.52,6.4,0.14,15
53.7756,-163.949,10.0,4.0,56,0.792,0.9,3.7,1.898,0.1,27
52.0258,-171.3369,35.0,3.6,68,1.156,0.72,6.93,1.993,0.064,62
34.3423,70.8571,10.0,4.7,61,1.434,1.18,7.96,1.886,0.075,53
39.2265,28.1034,10.0,4.2,34,0.944,0.47,3.91,1.932,0.159,11
-5.5512,146.6973,142.13,4.3,29,3.856,0.69,10.32,8.361,0.116,21
5.7142,125.8067,95.208,4.4,33,1.028,0.87,10.07,6.304,0.098,30
11.6158,140.7343,47.872,4.7,44,4.487,0.63,8.33,5.485,0.067,68
51.9405,161.1381,10.0,4.5,53,1.868,0.73,9.56,1.881,0.049,122
51.602,159.7578,10.0,4.6,59,1.578,1.09,10.32,1.9,0.065,72
-13.7828,-75.9595,53.102,4.3,20,1.981,0.82,7.96,9.173,0.148,13
49.955,158.7114,10.0,4.0,23,3.073,0.74,13.44,1.942,0.139,14
3.5115,126.6778,43.232,4.5,29,1.704,0.69,6.41,8.025,0.095,32
12.2738,144.4749,10.0,4.7,45,1.363,0.75,6.4,1.808,0.092,36
16.3594,-97.9939,32.37,4.6,92,0.655,1.31,5.85,6.26,0.035,245
36.9357,141.2761,53.661,4.3,26,2.495,1.12,8.56,9.437,0.148,13
29.3165,129.3433,10.0,4.4,37,2.386,0.8,7.06,1.89,0.12,20
39.2334,27.9322,10.0,4.1,28,0.815,0.65,3.65,1.957,0.165,10
9.5382,94.0096,10.0,4.5,27,5.602,0.78,11.06,1.94,0.128,18
28.1456,129.1021,59.049,4.3,43,1.498,0.67,9.7,7.86,0.091,34
51.5212,160.458,10.0,4.5,34,1.87,0.69,4.33,1.907,0.111,24
-14.1033,-76.0927,10.0,4.4,16,2.226,0.94,13.26,1.905,0.179,9
12.8093,125.0971,23.287,4.5,42,5.723,0.5,12.68,6.182,0.096,32
7.1992,127.0043,37.992,4.4,31,1.42,0.85,5.73,6.259,0.123,23
43.5116,147.8876,35.0,4.9,60,3.79,0.75,10.4,1.916,0.056,100
29.1427,66.5577,10.0,4.5,98,5.787,0.55,9.62,1.836,0.066,68
-20.9163,-65.1486,314.573,4.1,32,3.832,0.56,11.06,13.118,0.151,12
-3.9403,99.2707,10.0,4.3,19,3.699,0.55,13.86,1.943,0.153,12
-23.988,-177.3339,212.569,4.8,29,7.561,0.71,18.04,11.636,0.102,30
10.9219,124.1097,10.0,4.3,25,16.611,0.88,15.03,1.948,0.129,17
-7.9926,126.6309,10.0,4.5,20,2.919,0.97,3.59,1.925,0.164,11
7.7288,127.1648,35.0,4.5,47,1.704,1.39,9.67,1.921,0.085,45
-32.8133,-178.9014,35.0,4.8,38,5.26,0.76,12.58,1.922,0.089,44
-60.1407,-62.1748,10.0,4.5,17,4.731,0.68,10.12,1.921,0.139,15
50.2492,159.4324,10.0,4.5,61,2.821,0.58,9.44,1.858,0.052,108
-61.1702,-36.4403,10.0,4.7,28,6.906,0.8,9.14,1.927,0.102,29
79.9106,-0.4571,10.0,4.1,37,2.495,0.79,9.19,1.919,0.1,27
52.6365,160.7446,10.0,4.9,120,1.329,0.92,9.45,1.88,0.052,115
52.6281,160.6657,35.978,4.2,17,1.286,0.74,10.58,8.644,0.166,10
49.7391,157.562,10.0,4.5,88,3.359,0.72,9.91,1.881,0.055,96
51.1346,158.9957,35.0,4.3,19,1.904,1.1,9.11,1.954,0.153,12
-55.7996,-27.5909,91.138,4.6,24,5.337,1.21,11.79,8.509,0.119,23
52.8287,159.8657,35.0,4.0,24,0.761,1.17,10.91,1.968,0.122,18
-24.2993,-175.7043,31.869,5.1,71,5.312,0.64,11.14,5.434,0.071,64
-33.7505,-179.3787,35.0,4.2,17,4.244,0.94,12.1,1.517,0.152,12
52.5134,160.7669,28.866,4.2,49,1.384,0.74,10.59,6.387,0.086,38
49.876,155.7349,86.888,4.5,68,3.462,0.64,11.03,7.511,0.042,167
-24.1923,-66.9878,176.971,4.8,99,1.649,0.73,8.19,6.646,0.025,481
-60.1785,-26.8852,43.133,4.5,17,14.972,0.81,15.26,9.063,0.14,15
51.4839,159.0275,66.762,4.5,46,1.559,0.83,11.81,7.664,0.087,39
51.0453,157.0508,79.483,4.5,60,2.104,0.61,11.78,7.338,0.077,49
37.3275,142.1178,31.374,4.3,39,3.228,1.04,8.16,6.43,0.116,21
37.8218,144.3154,10.0,4.5,24,3.891,0.41,10.49,1.935,0.157,12
-15.5425,-176.6647,396.722,4.1,26,3.924,0.95,15.4,12.223,0.117,20
-3.0501,130.262,26.245,4.6,46,1.505,0.83,4.99,5.004,0.084,42
51.4925,160.144,10.0,4.3,24,1.787,0.49,10.37,1.922,0.129,17
5.3311,124.7375,15.643,4.3,24,0.948,1.08,6.73,2.979,0.137,15
52.9322,158.8783,100.073,4.8,101,0.165,0.65,9.12,5.537,0.029,370
3.7982,126.1129,72.496,4.2,17,1.123,1.18,10.21,15.584,0.176,11
1.063,125.5336,78.756,4.5,48,0.79,0.86,5.83,6.586,0.09,36
54.4527,-160.1923,38.355,3.7,119,0.516,1.09,5.59,9.153,0.168,9
-32.6051,-178.3589,10.0,4.6,17,5.65,0.55,14.56,1.97,0.164,11
52.0084,160.3053,35.0,4.6,59,1.434,0.65,9.31,1.947,0.073,56
51.36,159.716,10.0,4.9,103,2.146,0.81,8.43,1.848,0.058,94
38.7566,23.5556,10.0,4.4,40,1.578,0.85,5.46,1.89,0.095,32
-57.3621,148.6989,10.0,4.7,21,19.915,0.61,16.26,1.925,0.133,17
25.0545,128.6587,10.0,4.1,20,1.808,1.21,6.17,1.912,0.158,13
51.1298,159.5285,10.0,4.2,33,1.972,0.73,11.0,1.922,0.106,25
-6.3772,154.4982,60.089,4.8,46,3.181,0.54,4.48,7.592,0.082,46
49.4262,157.9132,10.0,4.6,73,3.632,0.72,9.8,1.897,0.048,131
51.4337,159.5434,10.0,5.1,23,1.684,0.76,10.39,1.602,0.134,18
51.0769,178.8163,17.521,4.2,69,0.429,0.59,5.04,4.942,0.072,54
-29.7175,-71.2545,50.446,4.8,50,0.201,0.7,3.34,5.935,0.032,296
18.7106,145.5349,210.582,3.8,25,3.459,0.47,11.56,9.547,0.12,18
33.6298,140.5591,57.142,4.5,62,0.808,0.74,7.34,5.828,0.081,45
41.9114,144.5307,33.632,4.8,156,1.03,0.5,7.02,4.909,0.042,174
