latitude,longitude,depth,mag,nst,gap,dmin,rms,net,horizontalError,depthError,magError,magNst
57.3297,-32.9584,10.0,4.5,25,112.0,9.321,0.58,us,12.6,1.922,0.121,20
27.2215,64.4073,28.538,4.3,36,156.0,7.715,0.73,us,14.96,8.159,0.096,31
52.1351,160.371,10.0,4.1,22,138.0,1.376,1.39,us,12.27,1.933,0.14,14
53.513,160.8756,35.0,4.1,16,141.0,1.424,0.84,us,8.21,1.982,0.165,10
-51.3994,-75.3811,18.674,4.3,15,177.0,2.766,0.92,us,10.84,6.11,0.177,9
51.564,159.3669,10.0,4.6,66,132.0,1.527,0.74,us,10.36,1.898,0.066,69
52.2064,161.3435,10.0,5.1,116,106.0,1.835,0.84,us,7.77,1.855,0.027,454
50.3652,159.5367,10.0,4.2,33,135.0,2.719,0.96,us,12.03,1.92,0.116,21
41.8776,142.4288,60.248,4.3,37,112.0,0.56,0.54,us,7.69,8.068,0.109,24
49.1548,156.4018,27.618,5.1,76,129.0,4.042,0.53,us,9.68,5.646,0.093,38
-50.2528,112.7707,10.0,4.4,19,144.0,16.114,0.88,us,7.31,1.93,0.139,17
-21.101,-174.3386,10.0,5.0,73,108.0,4.609,0.72,us,12.43,1.857,0.066,73
-30.4077,-177.7535,35.0,4.2,19,222.0,7.849,0.8,us,13.65,1.99,0.132,18
52.5439,160.992,10.0,4.2,20,203.0,1.501,1.01,us,10.47,1.856,0.167,10
-6.6166,129.9257,139.142,4.7,32,101.0,4.342,0.26,us,5.65,8.975,0.12,21
-20.6707,-175.1802,97.824,4.6,17,146.0,5.192,0.39,us,11.85,16.167,0.128,18
-22.6682,171.0096,10.0,4.8,33,127.0,3.292,0.79,us,12.33,1.912,0.087,41
-5.2422,151.7219,78.563,5.0,56,86.0,1.133,0.56,us,8.81,5.591,0.07,64
50.3721,158.9448,10.0,4.6,54,128.0,2.661,0.62,us,9.58,1.89,0.077,50
-20.4466,-177.8582,549.724,4.4,44,99.0,4.708,0.57,us,12.02,5.757,0.09,35
-18.3541,-71.4343,56.74,4.3,23,157.0,1.038,0.69,us,8.6,8.931,0.132,16
51.0614,159.0547,10.0,5.8,66,68.0,1.981,0.83,us,8.01,1.817,0.101,36
-1.1938,99.9771,75.629,4.6,25,132.0,3.453,0.8,us,9.51,7.5,0.193,13
52.6084,160.6974,35.0,4.2,31,188.0,1.31,0.76,us,12.06,1.98,0.128,18
-0.1296,123.1429,125.43,5.0,99,30.0,0.979,0.92,us,6.29,5.244,0.039,209
-23.3297,178.8291,553.818,5.1,42,81.0,5.604,0.65,us,15.36,7.2,0.098,39
-53.2194,140.1271,10.0,4.6,21,139.0,11.375,0.66,us,10.15,1.932,0.125,20
52.157,160.4571,10.0,4.6,42,123.0,1.403,0.96,us,9.12,1.87,0.082,44
9.6436,126.3902,35.0,5.0,165,74.0,2.68,0.65,us,9.95,1.821,0.047,145
51.5983,178.3582,90.978,4.0,30,184.0,0.382,0.71,us,6.63,4.459,0.15,12
51.4621,159.733,10.0,4.7,47,127.0,1.7,1.28,us,9.34,1.887,0.072,59
52.6512,160.3204,10.0,5.0,88,120.0,1.08,1.29,us,7.28,1.862,0.039,211
52.2848,152.8366,453.612,4.4,97,117.0,3.071,0.49,us,10.3,7.84,0.034,253
50.6175,158.0024,33.576,4.5,70,130.0,2.443,0.7,us,10.96,6.088,0.06,82
52.9716,161.1278,10.0,4.3,19,187.0,1.498,1.32,us,7.9,1.988,0.154,12
51.3303,159.7379,24.0,4.3,18,214.0,1.823,0.78,us,12.82,9.005,0.168,10
-57.9159,-25.1758,29.662,5.1,75,69.0,16.582,0.56,us,12.08,4.986,0.071,65
2.8774,-31.3365,10.0,5.0,69,48.0,9.775,0.69,us,10.78,1.849,0.052,119
52.1276,160.2459,29.823,4.4,27,124.0,1.324,1.15,us,10.35,6.115,0.112,23
51.7945,158.4856,55.333,4.6,18,138.0,1.235,0.87,us,11.68,7.851,0.128,18
-24.2017,-67.3635,180.855,4.2,29,54.0,1.452,0.72,us,9.89,11.895,0.236,5
56.2164,164.7038,10.0,4.5,18,89.0,4.754,0.61,us,9.26,1.925,0.116,22
-23.8589,-67.7832,152.805,4.5,24,73.0,0.973,1.07,us,7.71,7.8,0.135,16
51.3246,157.0529,114.719,4.4,74,161.0,1.83,0.44,us,11.13,8.12,0.068,62
16.4974,146.0926,130.853,4.2,19,155.0,1.283,0.43,us,18.14,9.362,0.137,15
16.3593,120.3454,89.939,4.2,20,191.0,6.462,0.45,us,23.3,13.033,0.176,9
82.1015,-5.4329,10.0,4.5,21,81.0,1.675,1.13,us,7.14,1.882,0.192,8
-24.3842,-179.9,522.434,4.3,20,138.0,6.877,0.66,us,14.57,11.045,0.137,15
-47.7754,116.1502,10.0,4.1,12,159.0,14.854,0.73,us,12.63,1.9,0.158,11
50.7794,156.963,87.079,4.3,36,138.0,2.376,0.58,us,12.81,7.806,0.107,25
52.2197,160.2154,46.188,4.5,41,123.0,1.248,1.2,us,10.33,6.422,0.09,36
7.6469,127.1659,10.0,4.8,98,75.0,1.675,1.1,us,6.35,1.765,0.056,98
52.8199,160.5122,11.1,4.3,35,147.0,1.146,0.73,us,9.91,5.807,0.116,21
53.4351,161.5246,10.0,4.1,31,137.0,1.777,0.74,us,11.09,1.911,0.107,24
-23.0494,-175.2251,10.0,4.3,17,159.0,6.63,0.51,us,14.27,1.958,0.142,14
3.0935,-31.4434,10.0,4.5,24,75.0,20.396,0.79,us,12.63,1.896,0.124,19
52.7995,160.6735,35.0,4.4,61,119.0,1.246,0.76,us,10.32,1.927,0.067,65
54.5645,-159.8742,38.316,4.0,83,160.0,0.314,0.62,us,5.11,7.418,0.196,7
15.0143,120.4564,10.0,4.4,40,104.0,14.896,0.89,us,9.46,1.893,0.097,31
2.0495,126.6924,61.506,4.1,24,80.0,2.928,0.82,us,9.77,9.646,0.131,16
52.9902,161.0303,10.0,4.5,50,172.0,1.439,0.64,us,10.07,1.881,0.057,89
52.9373,160.7052,47.898,5.7,88,147.0,1.246,0.77,us,9.41,6.148,0.05,144
43.8486,-128.0755,10.0,4.4,32,210.0,2.032,1.41,us,10.77,2.0,0.064,71
52.099,-171.166,35.0,3.6,19,211.0,1.661,0.7,us,7.4,2.006,0.151,11
52.6396,160.7409,10.0,4.4,25,120.0,1.326,1.1,us,10.45,1.919,0.123,19
23.1609,123.4658,10.0,4.4,22,129.0,1.365,0.94,us,6.99,1.937,0.19,8
12.0222,-69.6299,10.0,4.5,61,99.0,3.271,1.14,us,8.36,1.89,0.08,45
-5.339,133.9041,10.0,5.1,71,38.0,2.635,0.65,us,8.3,1.778,0.065,77
-4.5266,152.6067,99.507,4.3,27,153.0,0.553,1.05,us,11.17,6.095,0.133,18
30.0712,69.8249,10.0,4.4,28,200.0,8.51,0.68,us,14.33,1.947,0.114,22
39.5935,143.3965,10.0,4.6,106,120.0,2.149,0.48,us,7.19,1.872,0.057,91
37.5492,72.2407,205.283,4.1,47,92.0,0.786,0.56,us,7.27,6.293,0.127,17
-5.5903,148.9087,187.15,4.3,81,68.0,3.528,0.72,us,8.68,7.193,0.062,74
-18.6977,-177.9528,627.115,4.4,42,136.0,3.375,0.39,us,11.84,9.888,0.086,39
29.9971,131.046,36.263,4.4,24,135.0,1.591,0.53,us,8.23,8.378,0.155,12
5.1217,125.5639,10.0,4.3,21,131.0,0.395,1.14,us,7.16,1.906,0.137,15
51.7562,158.1845,72.653,4.9,87,121.0,1.301,0.77,us,8.7,5.986,0.028,388
52.2812,159.8921,35.0,4.7,31,133.0,1.061,0.96,us,11.43,1.952,0.153,13
-53.1933,9.2838,10.0,4.2,15,99.0,19.296,0.57,us,14.8,1.933,0.14,14
51.4482,158.8543,59.136,4.0,24,167.0,1.583,0.5,us,11.97,9.001,0.13,17
27.2631,53.8535,10.0,4.4,59,71.0,3.129,0.61,us,9.84,1.912,0.074,52
39.6231,143.2121,10.0,4.7,39,178.0,2.015,0.59,us,7.13,1.925,0.106,27
41.0209,138.6895,242.609,4.0,37,88.0,1.815,0.65,us,9.17,10.309,0.125,17
-5.3309,152.5022,35.0,4.3,31,154.0,1.123,1.06,us,11.1,1.937,0.102,28
52.2835,160.6646,23.152,4.0,21,152.0,1.434,0.48,us,9.66,7.068,0.196,9
-47.7426,115.921,10.0,4.1,18,142.0,14.832,1.01,us,15.5,1.947,0.14,15
-58.8007,-25.4875,29.994,5.5,63,33.0,7.576,0.86,us,9.88,5.042,0.052,126
0.4907,67.2876,10.0,4.4,32,206.0,5.707,0.57,us,10.57,1.704,0.112,23
52.8052,160.0663,35.0,4.2,27,119.0,0.885,1.39,us,6.68,1.908,0.11,23
13.967,-92.5853,22.359,4.6,71,157.0,1.158,1.25,us,6.19,7.071,0.03,329
49.9781,158.6493,10.0,4.1,22,135.0,3.05,0.56,us,10.36,1.924,0.145,13
-15.9102,167.3193,16.121,4.4,59,112.0,0.474,0.51,us,9.86,5.058,0.078,51
27.3659,52.528,10.0,4.2,40,115.0,4.089,0.59,us,9.47,1.949,0.106,25
11.0827,124.3483,10.0,4.6,49,83.0,4.169,0.55,us,5.57,1.904,0.092,37
-6.1946,130.5084,115.071,4.3,19,120.0,1.767,0.69,us,10.48,8.774,0.168,10
-8.1453,118.2472,14.491,4.5,29,71.0,0.822,0.8,us,5.32,2.177,0.14,15
-9.6707,152.7941,10.0,4.7,37,159.0,5.564,0.59,us,9.54,1.867,0.105,28
-60.6184,-19.8862,10.0,5.1,70,81.0,10.946,0.52,us,10.65,1.874,0.066,74
-57.7953,-25.8527,103.959,4.4,20,94.0,6.918,0.57,us,13.09,2.626,0.134,19
-21.4726,-68.5154,144.143,4.2,20,52.0,1.002,1.14,us,6.68,8.469,0.2,7
-24.0127,-66.9395,180.802,4.4,36,69.0,1.552,0.69,us,10.03,8.637,0.107,25
51.4638,176.9412,35.0,3.5,23,214.0,1.091,0.72,us,7.51,2.013,0.221,5
52.2837,160.7069,35.0,4.4,36,123.0,2.008,0.7,us,9.99,1.93,0.094,33
40.7378,143.859,10.0,4.3,31,134.0,2.123,0.69,us,8.2,1.913,0.138,15
34.756,70.6969,10.0,4.5,39,144.0,1.31,0.78,us,7.94,1.914,0.102,28
40.847,141.0069,84.239,4.3,43,88.0,0.072,0.99,us,10.12,2.26,0.094,32
1.2912,126.412,41.015,4.4,82,68.0,1.085,0.54,us,5.04,6.961,0.067,72
53.124,160.3421,56.152,4.4,26,117.0,1.026,0.93,us,5.79,7.582,0.126,18
73.5227,8.2869,10.0,4.2,23,95.0,5.076,1.02,us,7.33,1.91,0.167,10
-23.9394,-179.8439,532.881,4.2,25,125.0,6.469,0.73,us,21.06,24.442,0.115,21
36.1705,34.1984,10.0,4.2,26,107.0,1.399,0.94,us,5.29,1.654,0.2,7
2.5068,125.8306,128.173,4.2,26,62.0,2.239,0.49,us,9.92,7.508,0.125,18
29.9125,80.9401,35.0,4.5,21,165.0,8.854,0.96,us,11.87,1.97,0.144,14
50.9796,158.2957,35.0,4.4,28,122.0,2.059,1.09,us,10.99,1.952,0.112,23
-2.8693,147.2599,10.0,4.4,22,80.0,0.827,1.48,us,6.8,1.271,0.139,15
-3.112,142.9974,10.0,4.5,19,70.0,2.367,0.66,us,8.24,1.907,0.14,15
6.2537,126.4654,87.411,4.4,52,112.0,1.197,0.59,us,7.62,7.415,0.086,39
52.7716,160.2672,35.0,4.7,63,132.0,1.012,0.84,us,9.46,1.92,0.04,193
-39.7921,-16.4739,10.0,4.5,23,104.0,35.741,1.14,us,15.56,1.882,0.171,10
51.6355,-175.1977,35.0,3.5,45,199.0,0.572,0.77,us,4.5,1.991,0.106,22
-1.0269,127.335,10.0,4.5,45,72.0,1.787,0.8,us,6.92,1.895,0.105,28
19.5733,-109.1535,10.0,3.8,32,241.0,4.131,0.69,us,14.42,2.014,0.085,36
52.7348,-168.3029,35.0,4.4,30,198.0,0.411,0.69,us,4.26,1.93,0.269,4
