latitude,longitude,depth,mag,nst,dmin,rms,horizontalError,depthError,magError,magNst
-21.0565,-68.7168,128.037,4.3,40,0.72,0.97,6.03,6.222,0.103,27
52.2299,160.6111,10.0,5.2,173,1.435,0.77,8.47,1.864,0.026,503
54.5047,-159.8347,33.397,4.4,59,0.357,0.82,5.05,5.076,0.106,26
54.8127,-160.6053,43.058,4.2,39,0.588,0.53,4.26,9.283,0.216,6
40.5507,-126.1894,10.0,3.8,48,1.398,0.75,6.93,2.008,0.208,6
-33.7505,-179.3787,35.0,4.2,17,4.244,0.94,12.1,1.517,0.152,12
-21.6705,-174.3301,10.0,4.5,22,8.225,1.1,12.38,1.695,0.124,19
52.7716,160.2672,35.0,4.7,63,1.012,0.84,9.46,1.92,0.04,193
51.3455,158.9037,42.018,4.0,27,1.688,0.6,11.31,8.195,0.106,24
52.3337,160.2758,30.306,5.1,201,1.207,0.76,8.67,4.921,0.033,296
12.1615,-88.2506,35.0,4.4,32,1.301,0.92,8.25,1.969,0.117,21
41.0658,83.2521,10.0,4.5,40,3.051,0.61,9.13,1.905,0.127,18
-15.3877,67.0483,10.0,4.5,35,9.531,0.61,12.4,1.946,0.106,26
7.2829,126.7816,69.87,4.6,68,1.212,0.83,9.73,6.141,0.071,59
52.2207,160.1556,39.277,4.2,31,1.22,0.69,10.63,7.738,0.103,26
12.8502,125.6189,10.0,4.4,38,5.744,0.62,10.57,1.894,0.1,29
-29.6146,-176.6915,10.0,4.6,12,8.955,0.85,13.4,1.902,0.193,8
79.1448,3.5506,10.0,4.2,24,1.622,1.11,9.42,1.862,0.128,17
-31.7387,-179.8403,217.425,4.0,16,2.973,0.83,13.29,5.391,0.138,14
43.2393,-126.9507,10.0,3.9,22,1.692,0.36,8.07,2.012,0.17,9
29.3512,129.6219,10.0,4.4,49,2.267,0.81,6.82,1.902,0.091,35
53.3328,160.5713,21.146,4.2,19,1.197,1.14,11.4,5.244,0.121,19
11.1771,124.0974,10.0,4.9,101,6.547,0.42,10.42,1.856,0.061,93
28.4439,54.0647,10.0,4.3,29,3.975,0.49,9.24,1.896,0.129,17
37.066,141.966,44.433,4.5,56,3.06,0.58,9.7,5.902,0.083,42
51.376,159.6812,10.0,5.4,90,1.768,1.16,7.27,1.832,0.037,249
16.0831,-97.4466,29.321,4.4,58,0.3,1.11,6.26,7.844,0.057,87
-14.896,66.8835,10.0,4.5,34,45.783,0.5,16.61,1.925,0.099,30
-13.0448,166.3041,14.444,4.5,21,7.191,0.97,12.68,5.232,0.15,13
-37.7905,50.0346,10.0,4.4,24,8.739,0.54,10.94,1.872,0.12,20
-3.824,99.7687,10.0,4.5,23,3.223,0.76,10.29,1.904,0.139,15
50.8089,-172.9607,10.0,3.7,33,1.594,0.62,6.34,1.647,0.134,14
-9.7528,150.665,10.0,4.3,20,3.474,0.85,7.61,1.828,0.16,11
52.4163,160.7465,10.0,4.3,14,1.413,0.86,14.09,1.911,0.201,7
