latitude,longitude,depth,mag,nst,gap,dmin,rms,net,horizontalError,depthError,magError,magNst
21.9235,95.9869,10.0,4.8,38,75.0,1.226,0.44,us,8.07,1.898,0.105,28
50.1143,159.4248,10.0,4.5,61,135.0,2.953,0.6,us,8.54,1.892,0.061,78
51.2483,159.3828,10.0,4.1,22,142.0,1.834,1.05,us,11.88,1.944,0.127,17
51.5999,158.1903,38.568,4.9,65,120.0,1.453,0.59,us,9.27,6.03,0.031,325
52.2952,160.6851,24.74,4.4,19,166.0,1.438,0.9,us,13.77,7.561,0.162,11
51.3832,159.7998,10.0,4.2,21,129.0,1.789,1.33,us,6.06,1.943,0.159,11
6.626,127.0071,10.0,4.4,21,71.0,1.485,0.93,us,4.25,1.928,0.139,18
-5.8611,110.8421,516.001,4.1,25,55.0,1.246,0.66,us,8.87,8.488,0.14,14
53.1484,161.3976,10.0,4.2,19,195.0,1.662,0.37,us,15.7,1.983,0.2,8
53.472,161.7921,28.181,4.3,60,152.0,1.941,0.9,us,8.65,4.646,0.071,56
50.4997,159.977,10.0,4.1,47,133.0,2.658,0.49,us,10.27,1.917,0.087,36
22.8891,123.5793,10.0,4.0,20,238.0,1.6,0.92,us,6.95,1.964,0.196,7
-15.612,-74.1901,64.55,4.3,25,139.0,4.429,0.48,us,10.07,9.637,0.148,13
40.9578,14.7014,10.0,4.4,67,59.0,0.125,1.15,us,3.89,1.403,0.127,18
21.0837,121.9257,10.0,4.8,117,78.0,1.896,0.73,us,2.31,1.839,0.049,127
19.5291,144.8328,10.0,4.4,15,136.0,4.361,0.94,us,9.74,1.886,0.162,11
-44.6833,-81.3578,10.0,4.3,11,184.0,8.88,0.62,us,10.0,1.98,0.178,9
52.3265,160.298,20.77,5.0,83,110.0,1.222,1.07,us,8.67,5.352,0.033,295
13.2707,-91.2878,10.0,4.0,44,202.0,1.308,1.2,us,8.18,1.97,0.08,42
-53.9769,-1.7298,10.0,4.5,13,91.0,17.768,1.0,us,10.92,1.852,0.163,11
27.096,-44.4686,10.0,4.5,45,145.0,21.401,0.53,us,14.89,1.941,0.064,72
-55.2935,-27.9304,10.0,4.4,18,93.0,5.055,0.53,us,9.32,1.656,0.139,16
51.36,159.716,10.0,4.9,103,111.0,2.146,0.81,us,8.43,1.848,0.058,94
-5.9761,130.804,122.091,5.0,80,19.0,3.361,0.63,us,7.34,6.805,0.053,115
51.2543,-174.8171,10.0,4.0,65,190.0,1.007,0.68,us,5.42,1.804,0.076,46
49.1254,156.146,33.974,4.6,57,138.0,4.106,1.05,us,12.54,6.204,0.074,55
-20.5551,-178.0853,516.789,4.0,25,99.0,4.598,0.55,us,9.13,9.974,0.125,18
52.2871,160.1785,55.989,4.3,28,134.0,1.719,0.81,us,10.01,7.28,0.114,22
5.1535,126.3407,87.097,4.1,20,141.0,0.955,1.04,us,10.54,8.711,0.145,13
17.5473,120.712,54.122,4.4,44,100.0,5.254,0.63,us,11.41,8.458,0.105,26
53.8723,159.3999,117.89,4.4,69,128.0,0.962,1.09,us,10.93,8.713,0.052,106
53.0063,159.6868,60.755,4.8,100,109.0,0.627,1.07,us,8.01,6.305,0.026,455
40.9678,142.0518,54.603,4.3,28,149.0,0.769,0.77,us,6.25,8.291,0.125,18
53.4664,-166.8016,74.179,4.3,125,149.0,0.331,0.92,us,4.32,5.426,0.047,126
46.5893,152.6585,51.935,4.2,31,144.0,7.292,0.63,us,12.52,9.212,0.118,20
16.9035,146.1767,126.288,4.1,20,169.0,1.695,0.37,us,16.37,10.709,0.13,16
25.0212,122.7764,153.841,4.2,45,46.0,0.591,0.89,us,5.25,6.002,0.1,28
-7.5009,127.584,158.81,4.3,17,73.0,3.971,0.72,us,10.15,8.277,0.168,12
-15.8876,166.5681,10.0,4.3,12,220.0,5.119,0.3,us,12.25,1.98,0.188,8
50.9944,160.5997,10.0,4.8,86,165.0,2.362,0.75,us,9.92,1.911,0.03,351
-21.716,-69.086,94.089,4.1,16,65.0,0.165,0.41,us,3.96,8.008,0.213,6
48.0162,148.2416,389.556,4.3,53,125.0,3.864,0.99,us,12.62,8.216,0.037,207
-2.5868,139.5463,38.597,4.6,20,88.0,1.158,0.55,us,6.59,2.978,0.146,14
-57.2058,-68.3105,10.0,4.3,12,151.0,3.581,1.26,us,10.59,1.965,0.217,6
44.0626,147.506,35.0,4.5,43,148.0,3.54,0.55,us,10.96,1.954,0.101,29
50.1257,159.4975,10.0,5.0,94,135.0,2.95,0.6,us,10.1,1.853,0.026,465
-6.3677,147.846,64.856,4.7,57,47.0,3.093,0.82,us,7.76,6.126,0.077,51
32.8999,88.3856,10.0,4.2,32,143.0,3.957,0.89,us,8.32,1.825,0.096,30
-6.3469,148.469,65.598,4.8,37,59.0,3.303,0.7,us,9.4,8.106,0.094,35
52.4633,160.7493,10.0,4.4,91,163.0,1.394,0.58,us,11.17,1.912,0.061,78
52.9902,161.0303,10.0,4.5,50,172.0,1.439,0.64,us,10.07,1.881,0.057,89
-0.0117,123.4351,176.509,4.0,29,103.0,1.219,1.1,us,6.21,7.836,0.13,16
52.5195,159.7031,16.375,6.3,29,121.0,0.815,0.67,us,9.45,5.247,0.116,29
-7.6478,123.9499,336.237,4.1,42,59.0,1.959,0.94,us,6.35,6.407,0.131,16
-20.2638,-178.4018,594.8,4.3,55,97.0,4.187,0.88,us,14.62,7.648,0.066,67
50.1885,156.7396,70.95,4.2,29,144.0,2.984,0.48,us,12.76,8.826,0.11,23
52.2414,160.5389,10.0,4.4,34,137.0,1.392,0.86,us,8.18,1.658,0.1,29
30.0272,131.2318,35.0,4.5,27,141.0,1.622,0.51,us,4.87,1.938,0.124,19
-10.8967,116.7495,10.0,4.2,13,159.0,2.291,0.87,us,8.14,1.942,0.264,4
51.5628,158.7086,35.0,4.8,40,123.0,1.463,1.27,us,9.46,1.932,0.114,38
50.1168,159.9028,10.0,4.6,277,132.0,3.014,0.66,us,8.97,1.89,0.033,267
-47.2927,-13.4534,10.0,4.5,20,86.0,10.252,1.38,us,12.69,1.622,0.145,18
51.3999,159.6505,10.0,4.2,22,128.0,1.739,0.77,us,10.19,1.914,0.132,16
52.6806,160.6612,10.0,4.4,44,118.0,1.267,0.93,us,9.03,1.903,0.081,45
53.0776,161.041,10.0,4.5,45,165.0,1.444,0.76,us,9.9,1.921,0.077,50
30.5618,130.9918,45.075,4.7,71,138.0,1.052,0.69,us,10.93,5.62,0.057,95
52.7385,159.7381,49.707,4.2,38,161.0,0.719,0.57,us,9.95,7.177,0.1,28
50.22,159.4483,10.0,4.1,27,135.0,2.851,0.89,us,11.06,1.923,0.112,22
38.6003,40.2583,10.0,4.2,29,126.0,0.78,0.7,us,5.0,1.953,0.186,8
50.2826,159.0167,10.0,4.0,34,134.0,2.754,0.6,us,9.79,1.905,0.111,22
52.7251,161.0944,10.0,4.3,31,120.0,1.511,1.08,us,9.97,1.899,0.107,25
-9.1139,123.9199,94.87,4.2,24,103.0,0.723,0.64,us,7.71,8.286,0.128,19
51.5253,160.2937,10.0,4.4,20,220.0,2.247,0.72,us,7.56,1.899,0.123,19
36.1436,76.9652,10.0,4.1,32,151.0,4.18,0.61,us,9.53,1.935,0.126,17
-5.7179,152.5813,10.0,5.2,104,87.0,1.507,0.93,us,7.29,1.876,0.059,94
-46.7553,166.4472,35.0,4.3,13,107.0,0.611,0.92,us,6.78,1.997,0.378,2
53.3142,160.5301,35.0,4.4,29,169.0,1.715,0.93,us,7.96,1.952,0.115,22
52.4679,158.9129,68.956,4.7,48,120.0,0.579,0.94,us,9.11,6.905,0.087,40
-3.2176,143.5499,10.0,4.4,21,101.0,2.928,0.73,us,6.17,1.823,0.134,16
-24.1838,179.8728,512.792,4.2,21,121.0,6.628,0.87,us,14.61,6.49,0.141,14
