latitude,longitude,depth,mag,nst,gap,dmin,rms,net,horizontalError,depthError,magError,magNst
51.8637,158.4105,67.372,4.3,34,135.0,1.171,0.64,us,9.49,7.452,0.108,24
51.3455,158.9037,42.018,4.0,27,127.0,1.688,0.6,us,11.31,8.195,0.106,24
2.8455,-31.3401,10.0,4.3,30,79.0,9.745,0.85,us,10.9,1.8,0.109,24
-6.2398,151.8498,10.0,4.7,43,82.0,1.928,0.49,us,9.5,1.905,0.088,39
52.5217,160.6052,28.367,4.3,32,134.0,1.29,0.71,us,11.51,6.406,0.107,25
-23.9748,179.9515,514.354,4.4,45,112.0,5.581,0.62,us,13.29,8.284,0.092,34
60.186,-58.3006,10.0,4.8,153,65.0,5.081,0.52,us,7.93,1.868,0.044,157
51.7916,159.2703,66.976,4.6,18,125.0,1.291,0.67,us,10.56,8.163,0.146,14
49.9421,158.1099,10.0,4.1,27,138.0,3.104,0.53,us,11.73,1.919,0.131,16
-5.6494,147.3876,185.979,4.6,27,146.0,3.582,1.1,us,11.12,9.744,0.129,18
27.2215,64.4073,28.538,4.3,36,156.0,7.715,0.73,us,14.96,8.159,0.096,31
30.7824,96.6483,10.0,4.2,14,116.0,4.896,0.72,us,9.3,1.914,0.176,9
51.436,159.9191,26.47,4.4,26,126.0,1.771,0.9,us,7.87,4.626,0.123,19
10.4238,121.8659,10.0,4.3,17,136.0,6.188,1.25,us,14.51,1.942,0.187,8
5.9272,61.3713,10.0,4.3,16,194.0,23.225,0.57,us,11.07,1.94,0.177,9
-26.2598,-175.913,10.0,4.9,22,138.0,9.034,0.4,us,13.26,1.904,0.122,21
43.3761,-61.4153,10.0,3.8,10,247.0,2.014,0.82,us,4.04,2.017,0.294,3
6.4896,126.7054,194.346,5.0,63,57.0,1.258,0.82,us,8.39,6.369,0.041,185
28.1992,51.7226,10.0,4.3,55,103.0,5.158,0.53,us,8.88,1.9,0.092,34
39.1155,28.199,10.0,4.0,22,57.0,1.008,0.71,us,4.02,1.974,0.231,5
51.485,159.7227,35.0,4.5,35,134.0,1.676,0.78,us,11.25,1.902,0.093,34
49.8424,155.9951,74.82,4.5,81,132.0,3.439,0.59,us,6.08,6.8,0.052,110
-10.6655,-74.9361,35.0,4.6,84,63.0,2.285,0.82,us,6.32,1.843,0.069,66
-55.692,-4.1508,10.0,4.2,11,88.0,16.052,0.45,us,15.12,1.956,0.159,11
42.6079,147.1388,10.0,4.1,18,152.0,3.012,0.63,us,10.84,1.948,0.145,13
52.022,160.3219,10.0,4.1,14,124.0,1.432,0.93,us,11.01,1.942,0.234,8
39.6231,143.2121,10.0,4.7,39,178.0,2.015,0.59,us,7.13,1.925,0.106,27
1.6693,126.5186,40.741,4.5,46,92.0,1.23,0.71,us,3.52,7.854,0.091,35
-23.6016,-179.4998,534.399,4.4,16,188.0,6.261,0.38,us,15.12,21.066,0.17,12
53.1343,159.6823,65.679,4.4,48,164.0,0.633,0.84,us,8.92,7.664,0.076,50
-23.4334,-179.2182,512.0,4.0,17,270.0,15.477,0.47,us,25.62,23.136,0.13,16
54.7858,160.1692,10.0,4.2,33,109.0,1.982,0.41,us,12.18,1.936,0.075,50
11.1451,-86.7945,44.034,4.9,80,141.0,1.132,0.63,us,6.3,8.063,0.025,504
37.5417,144.0539,10.0,4.6,125,121.0,3.989,0.65,us,8.57,1.88,0.052,111
52.2593,159.0057,68.738,4.3,97,132.0,0.795,0.66,us,5.14,6.524,0.059,85
29.1549,129.0816,10.0,4.3,25,104.0,2.418,1.06,us,5.82,1.799,0.168,10
52.7995,160.6735,35.0,4.4,61,119.0,1.246,0.76,us,10.32,1.927,0.067,65
65.8441,-37.7453,10.0,4.7,59,47.0,5.297,0.57,us,7.6,1.869,0.042,177
5.1217,125.5639,10.0,4.3,21,131.0,0.395,1.14,us,7.16,1.906,0.137,15
15.6726,122.2526,21.521,4.6,38,158.0,7.193,0.64,us,12.34,5.681,0.111,24
32.2667,142.0712,10.0,4.5,41,101.0,2.083,0.55,us,8.8,1.887,0.106,29
