changed_parameter,m,nu,q,omega,lambda,mcmcIter,mcmcBurnin
q,200,6,0.80748,3,25,1200,200
q,200,6,0.81147,3,25,1200,200
q,200,6,0.81546,3,25,1200,200
q,200,6,0.81945,3,25,1200,200
q,200,6,0.82344,3,25,1200,200
q,200,6,0.82743,3,25,1200,200
q,200,6,0.83142,3,25,1200,200
q,200,6,0.83541,3,25,1200,200
q,200,6,0.8394,3,25,1200,200
q,200,6,0.84339,3,25,1200,200
q,200,6,0.84738,3,25,1200,200
q,200,6,0.85137,3,25,1200,200
q,200,6,0.85536,3,25,1200,200
q,200,6,0.85935,3,25,1200,200
q,200,6,0.86334,3,25,1200,200
q,200,6,0.86733,3,25,1200,200
q,200,6,0.87132,3,25,1200,200
q,200,6,0.87531,3,25,1200,200
q,200,6,0.8793,3,25,1200,200
q,200,6,0.88329,3,25,1200,200
q,200,6,0.88728,3,25,1200,200
q,200,6,0.89127,3,25,1200,200
q,200,6,0.89526,3,25,1200,200
q,200,6,0.89925,3,25,1200,200
q,200,6,0.90324,3,25,1200,200
q,200,6,0.90723,3,25,1200,200
q,200,6,0.91122,3,25,1200,200
q,200,6,0.91521,3,25,1200,200
q,200,6,0.9192,3,25,1200,200
q,200,6,0.92319,3,25,1200,200
q,200,6,0.92718,3,25,1200,200
q,200,6,0.93117,3,25,1200,200
q,200,6,0.93516,3,25,1200,200
q,200,6,0.93915,3,25,1200,200
q,200,6,0.94314,3,25,1200,200
q,200,6,0.94713,3,25,1200,200
q,200,6,0.95112,3,25,1200,200
q,200,6,0.95511,3,25,1200,200
q,200,6,0.9591,3,25,1200,200
q,200,6,0.96309,3,25,1200,200
q,200,6,0.96708,3,25,1200,200
q,200,6,0.97107,3,25,1200,200
q,200,6,0.97506,3,25,1200,200
q,200,6,0.97905,3,25,1200,200
q,200,6,0.98304,3,25,1200,200
q,200,6,0.98703,3,25,1200,200
q,200,6,0.99102,3,25,1200,200
q,200,6,0.99501,3,25,1200,200
q,200,6,0.999,3,25,1200,200
omega,200,6,0.85,1,25,1200,200
omega,200,6,0.85,2,25,1200,200
omega,200,6,0.85,3,25,1200,200
omega,200,6,0.85,4,25,1200,200
omega,200,6,0.85,5,25,1200,200
omega,200,6,0.85,6,25,1200,200
omega,200,6,0.85,7,25,1200,200
lambda,200,6,0.85,3,1,1200,200
lambda,200,6,0.85,3,2,1200,200
lambda,200,6,0.85,3,3,1200,200
lambda,200,6,0.85,3,4,1200,200
lambda,200,6,0.85,3,5,1200,200
lambda,200,6,0.85,3,6,1200,200
lambda,200,6,0.85,3,7,1200,200
lambda,200,6,0.85,3,8,1200,200
lambda,200,6,0.85,3,9,1200,200
lambda,200,6,0.85,3,10,1200,200
lambda,200,6,0.85,3,11,1200,200
lambda,200,6,0.85,3,12,1200,200
lambda,200,6,0.85,3,13,1200,200
lambda,200,6,0.85,3,14,1200,200
lambda,200,6,0.85,3,15,1200,200
lambda,200,6,0.85,3,16,1200,200
lambda,200,6,0.85,3,17,1200,200
lambda,200,6,0.85,3,18,1200,200
lambda,200,6,0.85,3,19,1200,200
lambda,200,6,0.85,3,20,1200,200
lambda,200,6,0.85,3,21,1200,200
lambda,200,6,0.85,3,22,1200,200
lambda,200,6,0.85,3,23,1200,200
lambda,200,6,0.85,3,24,1200,200
lambda,200,6,0.85,3,25,1200,200
lambda,200,6,0.85,3,26,1200,200
lambda,200,6,0.85,3,27,1200,200
lambda,200,6,0.85,3,28,1200,200
lambda,200,6,0.85,3,29,1200,200
lambda,200,6,0.85,3,30,1200,200
lambda,200,6,0.85,3,31,1200,200
lambda,200,6,0.85,3,32,1200,200
lambda,200,6,0.85,3,33,1200,200
lambda,200,6,0.85,3,34,1200,200
lambda,200,6,0.85,3,35,1200,200
lambda,200,6,0.85,3,36,1200,200
lambda,200,6,0.85,3,37,1200,200
lambda,200,6,0.85,3,38,1200,200
lambda,200,6,0.85,3,39,1200,200
lambda,200,6,0.85,3,40,1200,200
lambda,200,6,0.85,3,41,1200,200
lambda,200,6,0.85,3,42,1200,200
lambda,200,6,0.85,3,43,1200,200
lambda,200,6,0.85,3,44,1200,200
lambda,200,6,0.85,3,45,1200,200
lambda,200,6,0.85,3,46,1200,200
lambda,200,6,0.85,3,47,1200,200
lambda,200,6,0.85,3,48,1200,200
lambda,200,6,0.85,3,49,1200,200
lambda,200,6,0.85,3,50,1200,200
mcmcIter,200,6,0.85,3,25,500,200
mcmcIter,200,6,0.85,3,25,1495,200
mcmcIter,200,6,0.85,3,25,2490,200
mcmcIter,200,6,0.85,3,25,3485,200
mcmcIter,200,6,0.85,3,25,4480,200
mcmcIter,200,6,0.85,3,25,5475,200
mcmcIter,200,6,0.85,3,25,6470,200
mcmcIter,200,6,0.85,3,25,7465,200
mcmcIter,200,6,0.85,3,25,8460,200
mcmcIter,200,6,0.85,3,25,9455,200
mcmcIter,200,6,0.85,3,25,10450,200
mcmcIter,200,6,0.85,3,25,11445,200
mcmcIter,200,6,0.85,3,25,12440,200
mcmcIter,200,6,0.85,3,25,13435,200
mcmcIter,200,6,0.85,3,25,14430,200
mcmcIter,200,6,0.85,3,25,15425,200
mcmcIter,200,6,0.85,3,25,16420,200
mcmcIter,200,6,0.85,3,25,17415,200
mcmcIter,200,6,0.85,3,25,18410,200
mcmcIter,200,6,0.85,3,25,19405,200
mcmcIter,200,6,0.85,3,25,20400,200
mcmcIter,200,6,0.85,3,25,21395,200
mcmcIter,200,6,0.85,3,25,22390,200
mcmcIter,200,6,0.85,3,25,23385,200
mcmcIter,200,6,0.85,3,25,24380,200
mcmcIter,200,6,0.85,3,25,25375,200
mcmcIter,200,6,0.85,3,25,26370,200
mcmcIter,200,6,0.85,3,25,27365,200
mcmcIter,200,6,0.85,3,25,28360,200
mcmcIter,200,6,0.85,3,25,29355,200
mcmcIter,200,6,0.85,3,25,30350,200
mcmcIter,200,6,0.85,3,25,31345,200
mcmcIter,200,6,0.85,3,25,32340,200
mcmcIter,200,6,0.85,3,25,33335,200
mcmcIter,200,6,0.85,3,25,34330,200
mcmcIter,200,6,0.85,3,25,35325,200
mcmcIter,200,6,0.85,3,25,36320,200
mcmcIter,200,6,0.85,3,25,37315,200
mcmcIter,200,6,0.85,3,25,38310,200
mcmcIter,200,6,0.85,3,25,39305,200
mcmcIter,200,6,0.85,3,25,40300,200
mcmcIter,200,6,0.85,3,25,41295,200
mcmcIter,200,6,0.85,3,25,42290,200
mcmcIter,200,6,0.85,3,25,43285,200
mcmcIter,200,6,0.85,3,25,44280,200
mcmcIter,200,6,0.85,3,25,45275,200
mcmcIter,200,6,0.85,3,25,46270,200
mcmcIter,200,6,0.85,3,25,47265,200
mcmcIter,200,6,0.85,3,25,48260,200
mcmcIter,200,6,0.85,3,25,49255,200
mcmcIter,200,6,0.85,3,25,50250,200
mcmcIter,200,6,0.85,3,25,51245,200
mcmcIter,200,6,0.85,3,25,52240,200
mcmcIter,200,6,0.85,3,25,53235,200
mcmcIter,200,6,0.85,3,25,54230,200
mcmcIter,200,6,0.85,3,25,55225,200
mcmcIter,200,6,0.85,3,25,56220,200
mcmcIter,200,6,0.85,3,25,57215,200
mcmcIter,200,6,0.85,3,25,58210,200
mcmcIter,200,6,0.85,3,25,59205,200
mcmcIter,200,6,0.85,3,25,60200,200
mcmcIter,200,6,0.85,3,25,61195,200
mcmcIter,200,6,0.85,3,25,62190,200
mcmcIter,200,6,0.85,3,25,63185,200
mcmcIter,200,6,0.85,3,25,64180,200
mcmcIter,200,6,0.85,3,25,65175,200
mcmcIter,200,6,0.85,3,25,66170,200
mcmcIter,200,6,0.85,3,25,67165,200
mcmcIter,200,6,0.85,3,25,68160,200
mcmcIter,200,6,0.85,3,25,69155,200
mcmcIter,200,6,0.85,3,25,70150,200
mcmcIter,200,6,0.85,3,25,71145,200
mcmcIter,200,6,0.85,3,25,72140,200
mcmcIter,200,6,0.85,3,25,73135,200
mcmcIter,200,6,0.85,3,25,74130,200
mcmcIter,200,6,0.85,3,25,75125,200
mcmcIter,200,6,0.85,3,25,76120,200
mcmcIter,200,6,0.85,3,25,77115,200
mcmcIter,200,6,0.85,3,25,78110,200
mcmcIter,200,6,0.85,3,25,79105,200
mcmcIter,200,6,0.85,3,25,80100,200
mcmcIter,200,6,0.85,3,25,81095,200
mcmcIter,200,6,0.85,3,25,82090,200
mcmcIter,200,6,0.85,3,25,83085,200
mcmcIter,200,6,0.85,3,25,84080,200
mcmcIter,200,6,0.85,3,25,85075,200
mcmcIter,200,6,0.85,3,25,86070,200
mcmcIter,200,6,0.85,3,25,87065,200
mcmcIter,200,6,0.85,3,25,88060,200
mcmcIter,200,6,0.85,3,25,89055,200
mcmcIter,200,6,0.85,3,25,90050,200
mcmcIter,200,6,0.85,3,25,91045,200
mcmcIter,200,6,0.85,3,25,92040,200
mcmcIter,200,6,0.85,3,25,93035,200
mcmcIter,200,6,0.85,3,25,94030,200
mcmcIter,200,6,0.85,3,25,95025,200
mcmcIter,200,6,0.85,3,25,96020,200
mcmcIter,200,6,0.85,3,25,97015,200
mcmcIter,200,6,0.85,3,25,98010,200
mcmcIter,200,6,0.85,3,25,99005,200
mcmcIter,200,6,0.85,3,25,100000,200
mcmcBurnin,200,6,0.85,3,25,1200,12
mcmcBurnin,200,6,0.85,3,25,1200,18
mcmcBurnin,200,6,0.85,3,25,1200,24
mcmcBurnin,200,6,0.85,3,25,1200,30
mcmcBurnin,200,6,0.85,3,25,1200,36
mcmcBurnin,200,6,0.85,3,25,1200,41
mcmcBurnin,200,6,0.85,3,25,1200,47
mcmcBurnin,200,6,0.85,3,25,1200,53
mcmcBurnin,200,6,0.85,3,25,1200,59
mcmcBurnin,200,6,0.85,3,25,1200,65
mcmcBurnin,200,6,0.85,3,25,1200,71
mcmcBurnin,200,6,0.85,3,25,1200,77
mcmcBurnin,200,6,0.85,3,25,1200,83
mcmcBurnin,200,6,0.85,3,25,1200,88
mcmcBurnin,200,6,0.85,3,25,1200,94
mcmcBurnin,200,6,0.85,3,25,1200,100
mcmcBurnin,200,6,0.85,3,25,1200,106
mcmcBurnin,200,6,0.85,3,25,1200,112
mcmcBurnin,200,6,0.85,3,25,1200,118
mcmcBurnin,200,6,0.85,3,25,1200,124
mcmcBurnin,200,6,0.85,3,25,1200,130
mcmcBurnin,200,6,0.85,3,25,1200,135
mcmcBurnin,200,6,0.85,3,25,1200,141
mcmcBurnin,200,6,0.85,3,25,1200,147
mcmcBurnin,200,6,0.85,3,25,1200,153
mcmcBurnin,200,6,0.85,3,25,1200,159
mcmcBurnin,200,6,0.85,3,25,1200,165
mcmcBurnin,200,6,0.85,3,25,1200,171
mcmcBurnin,200,6,0.85,3,25,1200,177
mcmcBurnin,200,6,0.85,3,25,1200,183
mcmcBurnin,200,6,0.85,3,25,1200,188
mcmcBurnin,200,6,0.85,3,25,1200,194
mcmcBurnin,200,6,0.85,3,25,1200,200
mcmcBurnin,200,6,0.85,3,25,1200,206
mcmcBurnin,200,6,0.85,3,25,1200,212
mcmcBurnin,200,6,0.85,3,25,1200,218
mcmcBurnin,200,6,0.85,3,25,1200,224
mcmcBurnin,200,6,0.85,3,25,1200,230
mcmcBurnin,200,6,0.85,3,25,1200,235
mcmcBurnin,200,6,0.85,3,25,1200,241
mcmcBurnin,200,6,0.85,3,25,1200,247
mcmcBurnin,200,6,0.85,3,25,1200,253
mcmcBurnin,200,6,0.85,3,25,1200,259
mcmcBurnin,200,6,0.85,3,25,1200,265
mcmcBurnin,200,6,0.85,3,25,1200,271
mcmcBurnin,200,6,0.85,3,25,1200,277
mcmcBurnin,200,6,0.85,3,25,1200,282
mcmcBurnin,200,6,0.85,3,25,1200,288
mcmcBurnin,200,6,0.85,3,25,1200,294
mcmcBurnin,200,6,0.85,3,25,1200,300
mcmcBurnin,200,6,0.85,3,25,1200,306
mcmcBurnin,200,6,0.85,3,25,1200,312
mcmcBurnin,200,6,0.85,3,25,1200,318
mcmcBurnin,200,6,0.85,3,25,1200,324
mcmcBurnin,200,6,0.85,3,25,1200,330
mcmcBurnin,200,6,0.85,3,25,1200,335
mcmcBurnin,200,6,0.85,3,25,1200,341
mcmcBurnin,200,6,0.85,3,25,1200,347
mcmcBurnin,200,6,0.85,3,25,1200,353
mcmcBurnin,200,6,0.85,3,25,1200,359
mcmcBurnin,200,6,0.85,3,25,1200,365
mcmcBurnin,200,6,0.85,3,25,1200,371
mcmcBurnin,200,6,0.85,3,25,1200,377
mcmcBurnin,200,6,0.85,3,25,1200,382
mcmcBurnin,200,6,0.85,3,25,1200,388
mcmcBurnin,200,6,0.85,3,25,1200,394
mcmcBurnin,200,6,0.85,3,25,1200,400
mcmcBurnin,200,6,0.85,3,25,1200,406
mcmcBurnin,200,6,0.85,3,25,1200,412
mcmcBurnin,200,6,0.85,3,25,1200,418
mcmcBurnin,200,6,0.85,3,25,1200,424
mcmcBurnin,200,6,0.85,3,25,1200,429
mcmcBurnin,200,6,0.85,3,25,1200,435
mcmcBurnin,200,6,0.85,3,25,1200,441
mcmcBurnin,200,6,0.85,3,25,1200,447
mcmcBurnin,200,6,0.85,3,25,1200,453
mcmcBurnin,200,6,0.85,3,25,1200,459
mcmcBurnin,200,6,0.85,3,25,1200,465
mcmcBurnin,200,6,0.85,3,25,1200,471
mcmcBurnin,200,6,0.85,3,25,1200,477
mcmcBurnin,200,6,0.85,3,25,1200,482
mcmcBurnin,200,6,0.85,3,25,1200,488
mcmcBurnin,200,6,0.85,3,25,1200,494
mcmcBurnin,200,6,0.85,3,25,1200,500
mcmcBurnin,200,6,0.85,3,25,1200,506
mcmcBurnin,200,6,0.85,3,25,1200,512
mcmcBurnin,200,6,0.85,3,25,1200,518
mcmcBurnin,200,6,0.85,3,25,1200,524
mcmcBurnin,200,6,0.85,3,25,1200,529
mcmcBurnin,200,6,0.85,3,25,1200,535
mcmcBurnin,200,6,0.85,3,25,1200,541
mcmcBurnin,200,6,0.85,3,25,1200,547
mcmcBurnin,200,6,0.85,3,25,1200,553
mcmcBurnin,200,6,0.85,3,25,1200,559
mcmcBurnin,200,6,0.85,3,25,1200,565
mcmcBurnin,200,6,0.85,3,25,1200,571
mcmcBurnin,200,6,0.85,3,25,1200,576
mcmcBurnin,200,6,0.85,3,25,1200,582
mcmcBurnin,200,6,0.85,3,25,1200,588
mcmcBurnin,200,6,0.85,3,25,1200,594
mcmcBurnin,200,6,0.85,3,25,1200,600
