changed_parameter,m,nu,q,omega,lambda,mcmcIter,mcmcBurnin,Fit time,Prediction time,In-sample RMSE,Out-of-sample RMSE
mcmcBurnin,200,6,0.85,3,25,1200,547,66.567,49.912,0.156,0.174
mcmcBurnin,200,6,0.85,3,25,1200,512,86.949,50.632,0.152,0.167
mcmcBurnin,200,6,0.85,3,25,1200,565,62.745,47.617,0.149,0.167
mcmcBurnin,200,6,0.85,3,25,1200,576,64.313,46.223,0.148,0.166
mcmcBurnin,200,6,0.85,3,25,1200,571,65.402,47.313,0.153,0.172
mcmcBurnin,200,6,0.85,3,25,1200,559,65.437,48.174,0.155,0.172
mcmcBurnin,200,6,0.85,3,25,1200,594,64.905,45.963,0.153,0.171
mcmcBurnin,200,6,0.85,3,25,1200,600,65.521,44.979,0.155,0.173
mcmcBurnin,200,6,0.85,3,25,1200,588,64.963,46.503,0.155,0.174
mcmcBurnin,200,6,0.85,3,25,1200,582,66.417,47.442,0.155,0.173
mcmcIter,200,6,0.85,3,25,6470,200,374.092,507.312,0.136,0.158
mcmcIter,200,6,0.85,3,25,7465,200,496.553,620.914,0.137,0.158
mcmcIter,200,6,0.85,3,25,8460,200,495.589,661.941,0.135,0.156
mcmcIter,200,6,0.85,3,25,23385,200,1432.233,1755.185,0.126,0.149
mcmcIter,200,6,0.85,3,25,27365,200,1463.422,2072.736,0.127,0.152
mcmcIter,200,6,0.85,3,25,32340,200,1967.578,2498.497,0.124,0.148
mcmcIter,200,6,0.85,3,25,33335,200,1923.689,2567.319,0.125,0.15
mcmcIter,200,6,0.85,3,25,39305,200,2138.828,2958.59,0.121,0.143
mcmcIter,200,6,0.85,3,25,43285,200,2383.787,3301.25,0.119,0.141
mcmcIter,200,6,0.85,3,25,45275,200,2555.276,3446.788,0.125,0.146
