changed_parameter,m,nu,q,omega,lambda,mcmcIter,mcmcBurnin,Fit time,Prediction time,In-sample RMSE,Out-of-sample RMSE
m,385,6,0.85,3,25,1200,200,133.709,157.496,0.144,0.168
nu,200,5,0.85,3,25,1200,200,89.427,96.703,0.156,0.174
q,200,6,0.61596,3,25,1200,200,66.784,76.414,0.154,0.169
m,390,6,0.85,3,25,1200,200,134.298,156.547,0.136,0.159
m,394,6,0.85,3,25,1200,200,135.143,160.372,0.135,0.159
q,200,6,0.62394,3,25,1200,200,73.659,85.633,0.155,0.172
q,200,6,0.63591,3,25,1200,200,66.421,76.514,0.153,0.168
q,200,6,0.61995,3,25,1200,200,75.187,87.853,0.151,0.167
m,409,6,0.85,3,25,1200,200,140.234,163.91,0.139,0.165
q,200,6,0.62793,3,25,1200,200,74.545,87.753,0.153,0.171
q,200,6,0.64389,3,25,1200,200,68.033,79.533,0.157,0.173
q,200,6,0.64788,3,25,1200,200,73.88,77.697,0.156,0.169
m,414,6,0.85,3,25,1200,200,142.683,168.874,0.141,0.166
q,200,6,0.63192,3,25,1200,200,75.13,86.039,0.153,0.166
q,200,6,0.65586,3,25,1200,200,68.337,79.809,0.154,0.173
m,418,6,0.85,3,25,1200,200,144.658,171.968,0.137,0.162
q,200,6,0.6399,3,25,1200,200,75.951,87.949,0.153,0.171
m,399,6,0.85,3,25,1200,200,154.886,178.524,0.139,0.165
q,200,6,0.66384,3,25,1200,200,69.152,78.457,0.154,0.171
q,200,6,0.65187,3,25,1200,200,75.026,85.214,0.151,0.167
q,200,6,0.66783,3,25,1200,200,68.139,78.628,0.153,0.17
m,404,6,0.85,3,25,1200,200,154.684,179.939,0.137,0.163
m,423,6,0.85,3,25,1200,200,147.895,170.434,0.133,0.16
q,200,6,0.67182,3,25,1200,200,67.458,77.697,0.155,0.172
q,200,6,0.65985,3,25,1200,200,75.168,86.217,0.155,0.172
m,428,6,0.85,3,25,1200,200,148.096,176.472,0.139,0.165
q,200,6,0.67581,3,25,1200,200,67.222,78.938,0.152,0.169
q,200,6,0.6798,3,25,1200,200,67.103,77.22,0.15,0.167
q,200,6,0.68379,3,25,1200,200,68.487,78.263,0.156,0.173
m,442,6,0.85,3,25,1200,200,152.806,181.929,0.134,0.161
q,200,6,0.68778,3,25,1200,200,66.763,77.186,0.156,0.173
m,438,6,0.85,3,25,1200,200,163.829,180.454,0.137,0.165
q,200,6,0.69177,3,25,1200,200,68.244,79.962,0.157,0.174
q,200,6,0.69576,3,25,1200,200,67.999,78.713,0.157,0.171
m,452,6,0.85,3,25,1200,200,156.053,183.471,0.135,0.164
q,200,6,0.69975,3,25,1200,200,66.95,77.565,0.153,0.17
m,433,6,0.85,3,25,1200,200,163.506,199.65,0.137,0.163
q,200,6,0.70374,3,25,1200,200,68.247,79.067,0.154,0.171
q,200,6,0.71571,3,25,1200,200,66.38,77.339,0.154,0.172
q,200,6,0.70773,3,25,1200,200,68.296,80.641,0.154,0.172
q,200,6,0.71172,3,25,1200,200,73.88,77.301,0.155,0.169
m,466,6,0.85,3,25,1200,200,161.108,191.242,0.137,0.167
q,200,6,0.72369,3,25,1200,200,73.487,76.74,0.152,0.166
q,200,6,0.7197,3,25,1200,200,73.82,79.248,0.155,0.168
q,200,6,0.73566,3,25,1200,200,67.756,77.055,0.155,0.172
q,200,6,0.73167,3,25,1200,200,67.43,78.604,0.155,0.172
q,200,6,0.72768,3,25,1200,200,68.855,80.663,0.153,0.168
m,447,6,0.85,3,25,1200,200,173.378,194.364,0.141,0.169
q,200,6,0.74364,3,25,1200,200,67.041,78.62,0.156,0.171
q,200,6,0.73965,3,25,1200,200,67.949,79.385,0.156,0.172
q,200,6,0.74763,3,25,1200,200,67.811,78.665,0.156,0.173
q,200,6,0.75561,3,25,1200,200,67.143,76.426,0.152,0.168
m,457,6,0.85,3,25,1200,200,176.62,196.914,0.136,0.165
m,476,6,0.85,3,25,1200,200,165.611,195.727,0.136,0.162
q,200,6,0.76359,3,25,1200,200,67.038,77.772,0.155,0.17
q,200,6,0.7596,3,25,1200,200,73.152,75.494,0.153,0.168
q,200,6,0.76758,3,25,1200,200,67.579,77.683,0.15,0.166
q,200,6,0.75162,3,25,1200,200,73.674,77.125,0.153,0.171
q,200,6,0.77157,3,25,1200,200,68.364,78.099,0.155,0.173
m,481,6,0.85,3,25,1200,200,166.48,196.948,0.137,0.165
m,462,6,0.85,3,25,1200,200,179.306,198.334,0.135,0.168
q,200,6,0.77556,3,25,1200,200,67.409,78.1,0.155,0.171
q,200,6,0.77955,3,25,1200,200,68.228,79.286,0.156,0.177
m,471,6,0.85,3,25,1200,200,184.296,200.163,0.135,0.165
q,200,6,0.78354,3,25,1200,200,67.455,76.79,0.156,0.173
m,490,6,0.85,3,25,1200,200,171.569,200.754,0.136,0.164
q,200,6,0.79152,3,25,1200,200,67.05,75.798,0.155,0.169
q,200,6,0.78753,3,25,1200,200,67.2,78.383,0.156,0.17
q,200,6,0.79551,3,25,1200,200,69.406,74.068,0.156,0.171
m,495,6,0.85,3,25,1200,200,175.642,203.699,0.134,0.163
q,200,6,0.7995,3,25,1200,200,67.796,78.442,0.154,0.167
q,200,6,0.80349,3,25,1200,200,69.195,73.932,0.153,0.169
m,500,6,0.85,3,25,1200,200,175.462,205.212,0.135,0.16
q,200,6,0.80748,3,25,1200,200,68.765,80.502,0.154,0.17
q,200,6,0.81546,3,25,1200,200,67.345,77.913,0.156,0.172
q,200,6,0.81147,3,25,1200,200,69.504,78.709,0.157,0.175
q,200,6,0.82743,3,25,1200,200,66.523,76.798,0.159,0.174
q,200,6,0.82344,3,25,1200,200,67.695,78.25,0.159,0.174
q,200,6,0.83142,3,25,1200,200,69.099,73.966,0.151,0.173
m,486,6,0.85,3,25,1200,200,189.082,217.31,0.134,0.162
q,200,6,0.81945,3,25,1200,200,68.874,83.947,0.156,0.174
q,200,6,0.85137,3,25,1200,200,66.478,71.325,0.156,0.172
q,200,6,0.84339,3,25,1200,200,68.139,72.951,0.156,0.173
q,200,6,0.8394,3,25,1200,200,68.222,79.163,0.154,0.172
q,200,6,0.86334,3,25,1200,200,66.429,71.172,0.158,0.175
q,200,6,0.83541,3,25,1200,200,66.23,82.187,0.151,0.166
q,200,6,0.85935,3,25,1200,200,66.772,77.25,0.157,0.173
q,200,6,0.85536,3,25,1200,200,67.917,77.434,0.155,0.171
q,200,6,0.84738,3,25,1200,200,67.604,79.053,0.157,0.175
q,200,6,0.86733,3,25,1200,200,66.86,77.294,0.156,0.172
q,200,6,0.87132,3,25,1200,200,67.56,78.362,0.156,0.172
q,200,6,0.87531,3,25,1200,200,67.598,78.209,0.152,0.167
q,200,6,0.8793,3,25,1200,200,67.681,77.692,0.153,0.17
q,200,6,0.88329,3,25,1200,200,67.662,77.833,0.155,0.171
q,200,6,0.88728,3,25,1200,200,67.615,77.253,0.156,0.17
q,200,6,0.89127,3,25,1200,200,66.982,77.704,0.153,0.169
q,200,6,0.89526,3,25,1200,200,66.933,76.544,0.153,0.167
q,200,6,0.89925,3,25,1200,200,68.36,78.386,0.153,0.168
