latitude,longitude,depth,mag,nst,dmin,rms,horizontalError,depthError,magError,magNst
54.4977,-159.8529,35.0,4.7,150,0.367,0.66,4.13,1.696,0.05,126
51.461,159.7026,10.0,4.5,46,1.693,0.8,7.14,1.913,0.087,39
-57.9144,-25.4478,68.264,5.0,64,7.165,0.65,9.09,5.222,0.081,49
25.1114,126.1506,35.0,4.3,31,1.888,0.84,7.96,1.94,0.129,17
73.2412,6.5707,10.0,4.4,38,7.085,0.58,12.57,1.916,0.11,24
-33.8345,-179.1911,49.256,4.3,15,4.24,0.73,11.5,12.707,0.177,9
17.5087,-95.2491,138.852,4.3,35,0.945,0.67,8.46,8.819,0.099,29
-33.6622,-178.7327,10.0,4.7,31,4.457,0.55,10.93,1.868,0.106,27
11.6461,-86.4167,87.746,4.5,68,1.199,0.81,8.14,8.288,0.071,57
21.2512,94.8814,126.343,4.0,20,4.526,0.44,12.71,8.427,0.144,13
10.6718,57.2026,10.0,4.7,45,13.09,1.35,11.55,1.826,0.091,37
49.3543,157.6676,10.0,4.4,28,3.726,0.47,11.81,1.922,0.13,17
16.9945,-94.6973,115.386,4.0,31,0.618,0.79,5.61,5.974,0.156,11
14.5607,-94.163,10.0,4.2,28,1.946,0.86,7.48,1.978,0.115,21
39.4338,143.4883,10.0,4.4,38,2.299,0.81,5.47,1.899,0.115,22
37.512,72.1995,197.088,4.0,40,0.831,0.6,7.53,6.34,0.155,11
-10.2401,161.3778,84.234,4.3,42,1.619,0.65,10.05,7.075,0.138,15
-34.2319,-178.5567,10.0,4.5,17,4.186,0.63,8.18,1.982,0.163,13
-34.1106,179.1058,153.43,4.2,15,3.505,0.93,8.77,8.222,0.175,9
65.7749,-37.3545,10.0,4.4,57,5.472,0.65,8.0,1.911,0.075,51
-24.4078,-175.5172,10.0,4.7,20,5.277,0.59,14.89,1.991,0.115,23
51.5253,160.2937,10.0,4.4,20,2.247,0.72,7.56,1.899,0.123,19
-6.3623,148.0242,68.85,4.5,26,3.142,0.84,5.81,9.26,0.131,17
-19.8008,-177.8295,572.2,4.3,21,4.244,0.46,14.23,10.808,0.129,17
-15.0853,167.4736,144.812,4.6,39,6.225,0.7,12.32,7.431,0.081,46
31.098,-64.7443,10.0,4.0,31,1.27,0.88,8.06,2.005,0.139,14
-51.561,139.4622,10.0,4.5,33,17.623,0.7,13.68,1.733,0.121,20
-59.7567,-26.8249,37.676,5.1,47,15.325,0.59,9.98,4.894,0.067,72
-6.6114,129.9699,67.947,4.2,10,2.076,0.97,13.56,9.187,0.264,5
51.0514,159.2082,10.0,4.6,41,2.005,1.28,9.82,1.906,0.07,61
-53.742,140.0773,10.0,4.5,15,19.042,0.45,15.35,1.96,0.145,14
40.902,143.2141,31.27,5.1,96,1.113,1.06,4.25,5.57,0.065,78
-18.9241,169.2973,237.812,4.6,39,4.058,0.8,8.17,7.604,0.059,84
44.5841,149.4032,54.264,4.5,55,4.906,0.66,11.15,7.865,0.068,63
51.5283,159.4974,35.0,4.2,20,1.585,0.76,10.68,1.945,0.141,14
14.2674,-93.5221,10.0,4.2,73,2.408,0.66,8.74,1.9,0.074,51
52.0285,160.4338,11.523,4.8,60,1.989,0.71,9.26,4.902,0.073,57
37.7023,144.0108,10.0,4.6,80,3.838,0.5,9.62,1.892,0.07,62
31.5598,131.6068,53.962,4.3,20,0.987,0.78,7.4,9.872,0.142,14
-4.9586,106.671,377.131,4.4,81,1.206,0.75,8.62,5.712,0.071,57
52.1256,160.2687,36.347,4.6,82,1.336,0.87,9.94,6.252,0.07,62
-17.8872,167.1528,10.0,4.2,12,2.427,0.7,7.41,1.923,0.235,6
-23.3999,-67.1219,213.09,4.1,21,1.07,1.22,10.1,5.405,0.145,13
-19.4012,-176.545,310.539,4.4,69,4.855,0.37,12.74,3.821,0.081,44
7.1823,127.0935,59.256,4.4,21,1.507,1.16,9.51,7.385,0.155,12
-21.0279,169.7037,116.658,4.5,35,2.624,0.49,10.08,6.978,0.096,32
-23.4303,179.0358,559.959,4.6,54,5.731,0.95,13.78,9.717,0.057,93
10.1964,126.1748,10.0,4.5,36,3.162,0.69,11.45,1.898,0.106,26
18.7597,145.6392,149.037,4.2,14,3.502,0.77,17.21,9.995,0.152,12
