latitude,longitude,depth,mag,nst,dmin,rms,horizontalError,depthError,magError,magNst
51.2698,159.8048,10.0,4.8,52,1.895,1.08,8.9,1.887,0.063,77
13.5675,-91.2791,35.0,4.3,36,1.023,1.12,4.49,1.916,0.061,76
-47.8744,116.028,10.0,4.4,24,14.958,0.65,14.57,1.801,0.123,22
-10.2715,161.2607,108.087,5.0,82,1.536,0.72,9.51,4.987,0.046,233
53.7879,-165.5072,63.549,3.6,34,0.342,0.32,5.81,11.269,0.125,16
31.9149,104.5459,10.0,4.3,32,4.092,0.66,10.37,1.913,0.125,18
42.5481,88.1162,10.0,4.5,57,5.427,0.78,10.16,1.908,0.081,44
52.4839,160.8309,10.0,4.2,34,1.431,0.73,10.85,1.941,0.115,21
-17.3978,-70.5794,10.0,4.5,29,0.994,0.87,5.25,1.875,0.121,20
52.3077,159.3621,81.59,4.0,14,0.838,0.82,11.57,7.955,0.173,9
51.5411,158.814,55.478,4.1,20,1.488,0.72,11.47,8.363,0.145,13
50.685,158.1874,54.949,4.2,21,2.446,0.74,11.52,4.56,0.153,12
7.2402,126.7416,77.805,4.2,28,1.166,0.83,10.82,8.107,0.124,18
45.8924,148.7003,149.425,4.2,33,4.68,0.79,10.16,9.45,0.121,19
-23.4451,179.9704,559.83,4.3,52,5.949,0.44,14.18,5.737,0.1,28
49.2125,157.8883,10.0,4.5,56,3.846,0.57,4.72,1.884,0.086,40
-6.4239,146.8437,47.489,4.6,71,2.978,0.52,7.43,7.24,0.077,50
-24.2229,-67.0357,184.514,4.3,23,1.643,0.76,10.73,9.674,0.138,15
39.991,143.6448,10.0,4.5,25,2.055,0.51,7.25,1.914,0.157,12
9.0733,125.7413,10.0,4.4,26,1.997,0.5,6.23,1.886,0.135,17
14.6789,121.4548,10.0,4.8,131,8.103,0.61,8.3,1.861,0.055,109
-7.0257,147.3571,49.747,4.2,17,2.372,1.14,11.33,8.872,0.124,18
44.5994,149.1718,80.443,5.2,111,4.742,0.78,8.94,6.612,0.019,879
15.0498,108.1553,10.0,4.5,37,3.994,0.73,8.42,1.916,0.111,24
-1.0546,122.0296,22.132,4.3,41,0.742,1.16,3.63,5.462,0.103,28
